"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Clark County","WI",,"55","019",1274,99900,104900,99900,99900,109900,115900,115900,114900,115750,118950,118900,109900,115000,99000,113700,118900,119950,128900,119900,114900,110000,114900,115000,111250,105950,108250,109700,114950,119900,122500,119900,119150,114950,110000,110900,105000,102400,99900,99900,109500,119900,126950,119900,114900,114200,113500,110000,105900,102700,1e+05,104900,114750,124900,119900,119000,117500,110000,119500,122450,119000,117900,116450,119000,114900,113000,114900,114900,114950,114900,114900,114900,109450,103700,99900,103900,109900,113450,117200,109900,114900,110000,110000,109900,104900,104700,104900,112500,116500,112000,112000,110000,109900,105000,99000,105200,97450,101400,94950,109500,119000,124895,132250,125000,125000,119900,114900
"Harvey County","KS","Wichita","20","079",1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,139900,139900,136350,124950,119950,127950,124900,114900,114900,112000,110500,122250,119000,127500,120000,118000,124500,123200,116000,116950,117900,117950,115000,115000,129900,120000,120000,122250,121000,127250,133500,138000,138250,140000,139900,147250,139900,135000,135000,135500,146500,144900,125900
"McClain County","OK","Oklahoma City","40","087",1276,169450,164900,163500,159950,164900,169900,165000,169900,169900,166000,169900,165000,159000,157800,166900,166000,174000,174950,174900,177950,174900,169500,173000,169000,165950,172000,172900,173000,173000,189000,174950,164950,170000,167450,169900,169900,174500,178500,169900,169900,174900,172000,177775,179250,179000,174900,174999,176000,180200,191000,190700,191500,182000,186929.5,199000,199900,204950,202900,202900,228900,225000,224900,210000,219950,219900,215000,214950,205000,209900,205000,205000,206450,215000,215000,201848,225900,215950,215000,215000,212760,205750,195000,204875,218760.5,224850,229970,225000,217000,229398,229000,225000,218760.5,225000,219900,217900,244000,239900,249940,239900,237200,236000,246450,256440,227781.5,228063,227500
"Putnam County","OH",,"39","137",1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129900,129900,128000,127250,128500,132400,129250,127000,123700,119500,119750,121000,122000,119500,119750,129000,129000,114000,114500,114000,127250,125000,129500,129700,125750,129000,130900,130900,134500,134700,119900,126000,129900,129900,127450,125000,127900,128450,127900,127900,125000,119900,112000,125000,119900,122500,119000,108000,109000,109450,114900,114950,118000,119900,116450,116200,119950,126950,127500
"Lincoln County","ME",,"23","015",1278,262750,265000,261225,259000,269000,268500,269000,257450,255000,250000,250000,249900,239950,245000,249000,250000,254950,254450,259000,257750,259000,259900,269250,265000,250000,265000,265000,275000,269000,267000,269500,275000,269700,239000,239500,239000,249000,249000,242000,249000,250000,255000,250000,249900,259900,259900,249500,249000,239500,239000,247000,245450,245950,249900,249900,250000,249000,249900,249000,249000,249000,249000,249450,250000,255000,255000,269000,274900,255000,275000,275000,279000,265000,259000,265000,279900,285000,289000,293950,285000,279000,279000,279900,275000,269000,269900,264000,289000,299000,299450,295000,295000,299000,290750,295000,296500,275000,289000,297000,319000,319000,299000,298250,299000,299000,299500
"Williamsburg County","SC",,"45","089",1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,105000,99950,117450,119900,119900,102000,105000,102000,94500,87450,89900,89900,89950,93000,104900,95000,102450,94500,107450,109900,107450,99500,111000,1e+05,110000,125000,125000,128000,125000,129900,134750,127450,125000,121000,121450,127000,124400,121450,114500,117450,115000,119000,119000,109112.5,105000,99700,99900,89000,89000,89000,95500,98500,99900,105000,122500,125800,120000,120000,120000,124900,119950,115000,119000,115000,119450,115000,112300,115000,124900
"Adams County","IN","Decatur","18","001",1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,102199.5,96900,94900,94900,93500,89900,89900,89900,85300,92900,89900,94200,89900,88100,93500,94500,96200,94500,94500,89900,85500,84000,87500,87500,87500,93500,99000,99900,99000,84950,84900,84900,84900,84900,89000,92400,89700,97450,90000,89400,104900,99900,99500,100900,108900,97000,89900,98000,99950,110000,117750,106000,107450,113900,115000,109900
"Geary County","KS","Junction City","20","061",1281,142200,147388.5,148900,142900,145250,145250,142000,143937.5,143000,139900,139900,139900,144900,139900,140000,147500,145000,147900,149900,144350,146700,147900,145000,144900,149900,141900,146900,140950,144900,152000,149900,145000,144450,139900,139900,139900,135000,134900,136750,137900,139900,139900,139450,138000,137250,139900,139900,140000,140750,142900,142900,140000,144000,139900,136900,136000,130000,126000,129900,129900,130000,134900,129995,135000,134900,134900,134900,134900,134900,130000,129900,129500,126900,130000,129900,135000,135900,137500,134900,134900,134900,134900,134500,129900,134900,129900,134900,132000,132000,133250,133250,126900,117500,119000,119500,120000,124250,127999.5,129450,129900,131250,129900,131250,134900,134950,132500
"Lawrence County","AL","Decatur","01","079",1282,129900,124900,122000,114900,119900,119900,119900,119900,119900,125000,128000,125000,119200,119900,124900,124900,124700,124500,128097,122000,125000,123000,124900,124700,129900,124900,124900,110000,124500,119450,119900,124700,124500,120450,120450,121950,119650,121000,121450,127900,130875,121000,127900,129900,139900,139900,135000,124900,129900,123500,128200,125700,119925,129900,129900,129900,132200,129900,129900,123200,119900,129900,126900,129900,132250,134900,130000,139900,139450,138500,139000,139900,126900,131250,137700,134700,134500,139900,129900,129900,123900,120000,124900,129400,129150,121900,111450,120850,139900,139900,139900,132400,129900,129900,129900,129900,138900,129900,124900,129900,130000,129900,127400,128950,127000,124900
"Lincoln County","OK","Oklahoma City","40","081",1283,99900,92450,89900,99900,94900,99900,104900,101700,111250,104200,112500,114000,1e+05,115700,117750,115750,107750,104950,105000,96750,99000,99000,101950,99900,106000,99900,108000,116000,116000,119900,119900,120000,119999,120000,119999,119900,119500,117900,118000,115000,114900,115000,114900,112000,112000,111500,112000,116700,116250,112000,108000,111999.5,112950,112900,110000,110000,109950,116900,114900,112900,114950,112450,119900,124400,139450,129900,129900,134000,134900,129950,129400,123200,121500,109700,109900,119900,123600,134500,148500,149250,150900,147500,145000,149250,146250,138950,136750,140000,137950,129950,129900,132500,151500,159450,159000,156750,159900,159450,164000,175000,165000,158500,160000,155000,149450,135000
