"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Maryland",19,139900,139900,139983,140850,140000,139944,139900,137500,135900,134900,130000,129900,126900,119900,125000,125000,125000,125000,120000,125000,119900,119000,118800,115000,110000,110000,110000,110000,110000,112500,110000,110000,110000,110000,110000,110000,110000,112500,110000,110000,114816,114900,115000,114992.5,115000,115000,115000,114900,115000,118000,116000,115000,119900,119999,119900,119900,120000,119900,119000,119000,119900,119900,119900,120000,123900,124900,119000,124900,125000,125000,124900,119900,119900,119900,122050,124900,124999,124999,125000,125000,125000,125000,124900,124999,125000,125500,129900,129999,130000,130000,129900,130000,130000,134900,130000,134900,132050,135000,139900,140000,144900,144900,149000,149000,149000,149900
"Wisconsin",20,88000,89900,89900,89900,89900,87000,85000,84000,84900,84900,82900,79900,79000,74900,75000,76994.5,75000,70000,69500,68000,64900,64900,59900,59900,59900,59900,59900,58000,59900,60900,60000,59900,60000,59900,59900,59900,59000,59000,59500,58900,59900,59900,60000,59900,59900,59900,60000,59900,59900,59900,59900,59900,59900,60000,60000,62050,62800,63000,60700,60000,59900,59900,61900,63000,67000,65900,68900,68900,67800,66600,64900,62900,60000,61900,63900,64900,64900,60000,60900,60000,62050,62900,60000,59900,59900,60000,62500,62005,64900,65000,65900,65900,65895,65000,65500,64900,64900,64900,67900,69900,69900,70000,72500,74900,74900,74900
"Minnesota",21,99900,99900,101750,103104,1e+05,99900,99900,99900,99000,98900,94900,90160,89900,84900,84900,84900,80000,79900,76500,76500,74900,72000,69900,69900,69000,69900,69900,67000,69500,69500,69900,69900,69900,69900,67000,69850,68000,68125,69000,69000,69900,69900,69900,69900,69900,69900,74900,74500,71900,72900,72900,75000,72900,77500,79888,79900,79900,79900,79000,75000,75000,75000,81900,85000,92500,99000,97500,94999,94900,91500,85900,80000,79900,80000,84900,86900,85000,89900,89900,89900,89900,89000,86512.5,79900,78596.5,79500,88400,90000,94050,95000,94900,94900,92500,89900,88950,79900,79000,79900,85000,89789.5,95000,95000,99000,99900,99900,99900
"Colorado",22,126000,126000,128000,129000,127500,126000,125500,125000,125000,124900,124500,120000,119900,114900,117000,115900,116000,115000,112000,111740,109000,109000,105000,104000,1e+05,104900,105000,1e+05,106900,107500,109000,109900,104900,105000,102000,105000,105000,108000,110000,114900,115500,117500,118900,119900,120000,119000,117900,115000,115000,115000,119900,120000,124900,125000,125000,125000,120000,121625,115700,110000,119881.5,119000,125000,129000,135000,140000,144900,145000,149500,149900,145000,140000,140000,144900,148000,150000,152000,159900,163900,165000,164950,165000,159990,150000,149900,150000,159900,160000,175000,179000,179000,177500,175000,189000,189900,179900,175000,177250,189900,199500,2e+05,205000,206450,210000,210000,214900
"Alabama",23,59000,59000,59000,58900,57700,56000,55900,55000,54900,54900,54500,52500,51500,47000,49500,48900,48000,47000,45900,45000,45000,45000,45000,45000,43500,44900,45000,43000,44900,44900,44500,41000,40000,42000,42000,44000,44205,44500,42900,42000,41900,43000,42000,42900,41000,41000,41025,41000,42000,41900,42900,43600,45000,44999,45000,44900,44900,45000,45000,45000,44900,44900,44000,43000,45000,44900,44100,44000,44900,44900,45000,45000,44900,44900,43000,44900,44900,45000,45000,45000,44900,44900,44000,44000,44404,45000,44900,44000,44000,43000,42400,42000,43900,42000,40000,40000,40000,41496,42900,44500,45000,45000,45000,45000,45000,44945
"South Carolina",24,69900,69900,69900,69900,69500,69900,69900,69500,69000,69000,66000,65000,61900,57500,59900,59900,59600,57082.5,54900,55000,51500,50000,49900,54625,49900,49900,49900,47900,49500,49900,49500,49000,48500,48000,48000,47000,46000,47000,47900,48000,49500,49900,49000,49900,49900,49900,49900,49900,50000,50000,51950,52000,51200,51900,51000,50000,50000,52900,52500,54000,53900,51999,53500,52500,52500,54700,55000,55000,55000,55000,54900,55000,55749.5,57500,57000,57900,57000,57500,57900,58500,58500,57900,58900,59000,59900,59900,60000,62000,61900,61900,62500,63000,62500,62500,63000,62647.5,60153,65000,65000,67900,69500,69900,69900,69900,69900,69900
"Louisiana",25,75000,74900,74900,73000,74000,69900,69900,69155,68000,69000,68600,65000,65000,58500,63000,60000,60000,59295,57900,57500,55000,57000,54900,55000,54900,54900,50400,52500,55000,54900,54900,54000,54000,51000,52000,52000,53500,54000,55000,55000,55000,56900,57000,57400,55737.5,55000,55000,56350,55000,55000,57500,55000,55000,57000,58675,59100,60000,60000,59900,59000,59900,58500,58900,59000,59450,59500,59000,59900,59000,58500,58900,57500,57000,56719.5,59000,59900,59900,59900,60000,60000,60000,59900,59000,58500,57000,59900,59900,57500,59900,59900,59900,59900,59600,59000,58000,55225,57000,58000,59900,59000,59900,59000,59000,59000,58475,59000
"Kentucky",26,65900,65500,65000,65000,65000,65000,65000,65000,65000,63400,63000,62425,60000,58000,59900,59900,59900,58500,55000,54900,52900,53000,49950,49850,49000,49900,49500,49000,49900,49900,49900,49900,48900,49000,49900,49000,49500,49900,49900,49900,50000,50000,49899,49900,49900,49900,48900,44900,48000,47900,47500,47500,47900,49500,49000,49000,48000,49400,49900,49000,49900,49900,49900,49900,51000,51900,53000,53000,53900,53000,51900,51000,51000,49900,52500,52000,52900,52400,52000,52912.5,51500,50000,51000,51000,51900,50000,51000,51900,50000,50000,50000,50000,50000,50000,50000,50000,50000,49900,52000,53000,53900,54900,55000,55000,55000,55000
"Oregon",27,129900,129900,134000,132900,130000,129000,129000,127900,125000,124900,119900,117500,114950,103000,109375,108500,104900,99950,97150,98900,92950,90000,90000,90000,88900,89300,89000,88900,86900,89000,89000,88000,80000,85000,82500,85000,85000,87000,87500,89000,89900,89997,90000,93900,95000,95000,95000,95000,95000,98950,99000,99900,105000,105000,104900,105900,104500,105000,107000,104900,109000,109900,110000,112000,115000,117750,118425,122900,124500,115100,119500,115000,115000,115000,117000,120000,124900,122840,125000,129900,129900,130000,134900,125000,124500,125000,129000,125000,134585,135000,139500,142819.5,145000,145000,140000,139900,139900,139000,145000,149900,150000,157999,163098,169000,169900,170000
"Oklahoma",28,49500,49900,49900,49900,49900,50000,50000,50000,50000,50000,49900,49000,47500,42999.5,47900,48000,48000,46900,45000,45000,44900,44900,42500,42400,40000,40000,41000,40000,40000,40000,42000,39900,39950,39900,39900,39900,39900,40000,40000,41927,42000,40000,40000,40000,42500,42000,42500,42500,42500,42900,44900,42500,42000,43000,42900,42500,40500,42500,43850,44000,44000,42200,41599.5,41000,40000,41950,44000,44000,44900,44900,44900,44000,44500,45000,45000,45000,45000,45000,45000,45000,45000,47000,47500,47500,46000,47500,49500,49500,49500,49900,48825,49900,49900,49500,49500,49750,49900,49900,50000,49999,50000,50000,49999,50000,50000,50000
"Connecticut",29,149000,149000,149900,149900,149900,149900,149000,145000,144900,144900,140000,139900,139000,135000,135000,135900,137900,135000,134900,131000,130000,129900,129900,129000,125000,125000,124900,124900,121900,120000,119900,119900,119900,119900,119900,119900,119900,119900,119900,119900,119900,121900,121900,120000,124000,122000,120000,119900,119900,119900,119900,120000,120000,124900,124900,124900,124900,124900,120000,120000,119900,119900,119900,119900,119900,119900,119900,119900,122200,122900,120000,119900,119900,119900,119900,120000,122300,124900,124900,124900,124000,124900,124900,124900,124900,124900,125000,129000,129900,129900,129900,129900,129900,129900,129900,129900,129000,129900,129900,132900,134500,134900,135000,135000,135000,135000
"Iowa",30,65000,65910.5,67900,69500,68900,68000,68000,67900,69000,68500,68000,65000,64900,59900,60000,60500,62000,60000,59900,59900,57000,57000,55000,54900,55000,55000,55000,56500,58850,58000,57500,58500,59000,58100,59000,59000,57500,57900,59000,59750,59900,59900,59000,59500,59500,59900,59900,57900,59000,59900,60000,60000,60000,61000,62000,62500,62750,62000,62000,60000,60600,59950,61500,64250,65900,68000,68000,68000,69000,68900,68783,68000,68000,68000,68000,69500,69900,70000,69900,69900,69900,69900,69700,67900,67900,68000,68500,69000,68900,69000,69500,69100,69117.5,69900,69900,69000,68000,68900,69900,69900,70000,70000,72900,73900,74900,74900
"Mississippi",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500,39621.5,39000,39000,39500,39000,38000,38500,38300,38915,36000,37000,35000,32000,32500,34000,35000,34900,34900,35000,35000,35000,35000,35000,35000,34900,35000,35000,35000,35000,35052.5,36500,38024.5,39000,39900,39900,39999
"Arkansas",32,55000,54925,55000,55000,55950,55000,55000,54900,54900,51825,50000,49900,49000,42500,45900,47000,45000,41900,38900,35900,35000,35000,35000,35000,35000,35000,34900,35000,35000,35000,35000,34900,35000,35000,35000,35000,35000,35000,35000,34900,34900,35000,35000,35900,36000,36500,36037.5,36500,35090,37500,37900,38000,36900,37000,36900,37000,36900,38500,39500,39900,39000,35000,35000,34900,35000,35900,38000,37500,36000,37500,36345,36000,39000,39125,39000,39900,39000,38000,39000,37500,37500,37250,38000,39000,39000,39000,39500,39000,39500,39900,39900,40000,39900,39900,39900,39900,39900,40500,40000,42000,43900,44475,43000,41500,41500,42000
"Kansas",33,64900,63900,64500,64900,63900,63450,64000,64875,64900,64900,62500,59950,59900,56000,59900,59900,59900,59500,56900,56000,55000,55000,54900,53000,50300,50000,52500,49975,52000,50500,50000,49900,49000,48000,48900,48900,49900,49950,49900,50000,50000,52000,52500,50000,50000,49950,50000,49900,49900,50000,49900,52000,52500,52500,52000,51000,50000,53375,54000,52000,54900,53275,55000,54950,55000,55000,55000,55000,55000,55000,55000,54000,53500,53900,52000,50000,51900,54650,54950,53900,52900,52000,51250,52000,52000,52000,54273,54900,55000,55000,55000,55000,55000,56900,55000,55000,55000,55000,58400,57000,59000,59000,59900,59950,60000,59900
"Utah",34,147000,147900,145000,145000,144900,144000,142000,139900,139775,139000,133250,129900,129500,120000,121500,119500,119000,115000,112000,110000,109000,109000,107500,105000,104900,103900,99900,99900,99900,1e+05,103900,103900,103000,99900,99900,1e+05,1e+05,104900,109000,109900,109900,114900,115000,117500,119900,119983.5,121000,120000,124000,124900,127500,129000,125000,129900,129000,128900,125900,125000,124900,124900,124900,124900,128000,125000,132000,130000,133650,134000,133000,132500,132510,130000,129900,129999,135000,136000,136950,139888,141800,145000,148000,149000,149000,143000,139999,140000,149900,150000,150000,152000,159000,159900,159978,159900,160000,160000,159900,165000,167900,170000,175000,179900,180000,188000,190000,199000
