"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
102001,"United States",0,15.0634435686153,14.4532308691493,11.9795320765168,10.6276000257672,13.1915365767915,11.4965019939653,13.9028746971458,13.8415355814112,13.9697009458784,15.1925855182867,14.8729694793643,13.906584323909,13.6542128500207,13.0763728259564,10.9197790645236,8.96793720238359,11.1917257300944,10.6141373079131,11.4066182630762,11.2707362973977,12.185489475645,12.5050787757027,12.4980029249468,12.6547325180735,11.8888460720122,11.3535841832007,9.6981504199216,7.48942697833092,10.823290956342,9.48303857007072,10.3930394102637,10.7412832629255,11.8266391747556,12.1705185992415,13.3251369028354,14.0416630162354,13.761141568753,14.4045488760778,11.7031982189489,9.09987759556774,12.2473062761772,10.9644479605049,12.1826590091029,13.3386564262826,14.2479629756442,14.7948034767231,16.3760276166412,16.0950796435267,15.7191570143434,15.6650297279002,12.1251088419583,9.689357641305,12.5869114655185,10.8964083819534,12.2738455386735,12.3182553024301,13.699586835817,14.3621040966905,15.4787333853615,15.1717832639384,15.3449755923654,15.0077705443052,11.9382782125916,9.51133934815245,12.0856595240209,11.5711323353565,12.6107704708134,12.8028247698239,12.7703207806597,14.2664422874805,14.4591526146851,15.1417351555458,14.3769725052109,13.0155684464053,12.185658134553,8.9483815067889,12.141257584232,11.3792842630742,12.4703059284106,12.3184214000823,13.7414584003564,14.7801851978037,15.2030118446407,15.887051788997,14.7174676815823,15.2064024074085,12.5096018103305,8.67068179930637,12.2312020244425,11.2689624143146,12.0114655622255,12.3369409848728,14.0790650456191,14.9523324032339,16.171512048393,17.2222947585266,16.9496153803922,18.5622627855839
394913,"New York, NY",1,13.4235417761429,13.500506755623,10.6545658868966,7.74488314919582,10.0304945284755,9.1706223628692,12.9631375506741,13.9506136286251,15.1435338022104,16.2481066238769,15.1039744475833,12.7458521770268,13.8724669262794,13.3741688442731,10.6277262247655,7.83970450925468,10.5962321684442,10.197082373893,11.7583478093032,11.3332943917652,12.3843973268686,12.5451689926836,11.6350292274008,11.279899691358,11.1373483233725,10.4208840893541,6.54631584688384,5.75748739950848,8.72173749078629,7.0514481548042,8.31562734489159,10.0936977388834,10.3193866114439,10.3593398407201,10.7990381423517,10.3764600545358,11.4770863823109,11.9493218378719,8.98489409595097,5.7788470141464,8.63766658285139,6.56983053677269,9.20536979904945,10.9091224931167,12.8394662353417,13.2655063862525,13.9075476791641,12.3288002125655,13.7562855090446,13.2805420629413,9.49708185420445,6.93387531313513,9.16949645871738,7.69663586827766,9.47635196074894,11.4778209676507,13.1283955711437,14.0071801324994,14.0341152646594,12.7214033566607,13.8872159000856,13.7529460695966,10.5492038998387,7.83666030697383,9.93433922795328,9.59461618715517,11.5125578784902,12.2405258459791,12.300923821338,13.3050124878329,12.3955529549444,11.9733907010344,12.5034864071139,11.1372643003261,10.0892100491156,6.97433960013123,9.80821527148284,9.08843345301973,10.3200737618546,10.8057504611306,12.8181893071917,13.5682049788907,13.0284385721172,12.4758257909801,13.0752280160871,13.0577414615493,10.4471148641334,7.06006448751603,10.5120144270605,9.38071510704703,9.96523871778501,11.9146826342738,13.9112449979767,14.743883522527,14.4925472747497,13.8138686131387,15.7150205761317,17.586193355847
753899,"Los Angeles-Long Beach-Anaheim, CA",2,17.3000094372267,16.3627700127065,13.5413225870384,12.4989347014607,15.2991759226084,13.6399052040386,15.060277094704,14.7800168470161,14.7403409464885,16.5484441703053,16.850147483116,15.9213318100212,16.2575752446085,15.7411993782773,13.1391684456643,11.4550860437877,13.4772279415827,11.9634450290778,11.2640163098879,9.89998608156205,9.80931426475981,9.33121150746084,9.24358863655988,9.65085935390984,9.07831396031466,8.65175069010606,7.7512286939245,5.47888895413706,7.30757147345272,5.9810377332714,6.87646337384324,6.57767726633388,8.16675397722573,9.25707230661871,11.3536887623266,13.5333959057355,14.4662658650635,15.0183054393305,12.6837357016385,9.39019708216023,12.5527258888078,12.2093723647753,12.1979652395083,12.9760512533686,14.5205080965771,15.1106031383194,16.9856080974221,17.0301803543406,16.9719491728602,16.2897982598719,11.9503918944752,8.83482355579225,10.2190312174061,10.6505771248688,11.3987045131392,10.1661457476559,10.8883266734448,11.8686348552466,13.4635012203239,14.0049250055966,13.8393165542174,13.5568478798295,10.7723938370942,8.08899572350952,10.588509226381,10.30830913867,10.7391876132106,10.2188598926522,10.6811111356265,12.5075819372111,13.0072561139479,14.1417044777958,13.3254091227474,11.7085707900324,10.8860453887011,7.26603690685413,9.86648170625975,9.11410347271439,9.88727042431919,9.87445855664048,11.2522600793669,12.2576412298364,12.8285915824124,13.0113970156268,12.5260704208073,12.9622550143997,10.3956298626055,6.38352309069976,10.0926979996747,9.49739000745712,10.5336031526254,11.0966855048114,13.1916808792875,14.0626076571507,15.5328343580148,18.0025244556642,18.5463893433045,20.2761490448269
394463,"Chicago, IL",3,18.2885849846497,16.5291777787823,12.954591781676,11.5397426565835,16.1426956662154,13.7151595522263,16.5337622015234,17.2222091352383,17.6453241483439,19.0579184885543,18.3857798748685,17.7132091368658,17.7002756560493,16.9061296865322,13.8785000738153,11.3649836335988,14.8385188372281,14.6546313976312,15.8466120246398,15.5220396804022,15.6715195058927,15.782339749119,15.3809947843786,16.0399753432922,15.1458228975344,14.5567978790848,11.7784013815221,9.38137435211503,13.2660790524721,11.6815857835432,11.9133797370456,12.126296744824,12.8271736688385,12.8201227944023,14.4774021532799,15.2350427350427,15.3458146371654,16.6500561593343,13.2636442199029,10.3839933123739,14.139627116667,12.538643907065,14.3426637111879,15.3411210073252,17.0175487777529,18.0252939273002,19.8847932219151,19.9641802216015,20.8534001155847,20.5336134453782,15.694146768497,12.4437730782142,15.8692739514611,14.0297338316171,16.0578583765112,16.3681525405155,17.7001418073998,18.1200745414131,19.3091403066175,19.533632065573,20.2294577618254,19.6446795939195,14.9127283862407,11.1683654514029,14.6025783317681,14.0821152533765,13.2468514912514,15.9877433309301,16.1936560934891,18.5993153179401,18.5688316792768,19.6094916615427,19.7113790404945,18.003732652288,14.9502323512722,9.84919073748145,14.4634413821621,13.876365093678,15.1636200483406,15.2276685742722,16.6534945599199,18.2752556503615,19.0814786616453,20.5456143042441,20.7278088370531,20.1617439156013,15.0764881942135,9.29454712257029,14.6215735424921,12.9082774049217,14.0188777542827,15.9680436137975,18.3458895603941,19.5499979766096,21.3121960601148,21.8403671778798,23.1742448991714,23.9928351454968
394514,"Dallas-Fort Worth, TX",4,16.1087770223818,15.1855008065252,13.2878626016928,11.4132729760316,13.29901985765,11.4227143649287,14.6195591981393,14.6739130434783,16.0368760515984,16.6025999440872,16.6981748794148,15.1020111812967,14.9552772808587,14.2413395869333,11.9619326500732,10.3545111430625,12.4346553286401,11.468870523416,12.9839562954806,13.0597948461346,15.0115217583976,15.198944823038,15.7204943637104,15.6813291066016,13.9900541173029,13.2074981825735,12.4026559554062,9.24678137408254,11.7362463485881,10.5580134151563,11.3365971063644,11.399994693975,11.84660858743,13.1084804571895,14.7114499130257,15.9650475456181,15.034122842232,15.6284121602207,13.1380200138461,10.0626925937732,12.7687504434826,11.2370918224951,12.2077259242719,12.8757424851503,13.9551113840657,13.4323055449816,16.2816930294563,15.7455288449411,14.8824098855418,15.9543131950706,12.0508785733019,10.2628149435274,12.1062360885804,9.38897681139476,10.8728179551122,10.5777338411886,10.9892679884624,11.7923380226841,14.660050088118,15.1088681972185,15.4329486569705,15.0787834371565,11.9376040168119,9.75389342410459,11.6872349245831,10.6889226100152,10.4008638142799,11.0011778563015,11.3817891373802,13.4737198394662,14.9537598364358,16.2019737472454,15.3008962868118,14.4094700026903,13.0461958065799,10.108584051523,12.3177083333333,11.8437939253193,12.5624476789717,12.9132530755249,14.1146384046032,16.5658610058601,18.6896698213401,19.7364374097996,19.6302338227297,18.9618946330834,15.9216251420336,10.5033702306598,13.9098604438344,12.4441687344913,13.7639358810805,14.1736850068082,17.3537109740138,19.4951439127453,21.7943474610931,23.2210396692761,21.7758786655084,24.3904244817374
394974,"Philadelphia, PA",5,18.2249880325515,19.4222750514141,14.7612703084296,10.9618807168577,14.6517464965488,13.18767878612,17.3473794903574,17.5134371689749,19.1829108559982,20.4585070102311,19.1760186789184,16.822501094967,18.5038983483572,18.1016148089799,14.846313935804,10.7106076210093,14.416595772528,14.0991248515766,16.7625291195085,16.8645169540291,17.9282360689172,18.2996690146822,17.1658757311555,17.2415346835785,17.3899932731785,16.8545980006633,14.1915519887293,10.0467161308052,14.5646889846426,12.9682526728148,14.7616312464101,16.2941669661037,17.3959973015516,16.1919302071974,17.3741339491917,17.3746834233287,18.6063605625521,19.749785355084,15.139382786661,10.4476031657799,14.1441140438802,12.754501588796,14.9230530079279,18.1210406975385,20.1105736005529,20.4714694866711,21.4147591851419,19.4799280460869,21.7220338983051,22.3242963994519,17.0610030755818,12.4864593516341,16.35451875658,14.5203351273373,15.9608484463863,18.5238183161004,20.9578928180824,21.4229283707865,21.2119215479563,19.4010505491507,21.2801063317827,21.7752736341385,16.7353547247571,13.1266824808764,15.725772560446,15.5535274758705,17.5743133074125,18.6322647655918,18.2082712796426,20.2382595096822,19.4647550776583,19.111790986791,21.0914600824681,19.8121804282894,17.5352264171238,13.1787110832512,17.2654660309169,15.6885805009996,16.9997611274783,17.5397199937077,19.7501457061045,20.1671437333879,19.5143766606161,19.4835680751174,20.26997664186,20.6677607683823,16.6387155307508,12.1865706683362,15.3493736584116,14.309073519884,14.303433500592,12.834841925751,17.7009456264775,17.8982714180993,17.6257341034874,17.6509785532713,18.5760102629891,21.4261371084021
394692,"Houston, TX",6,16.7219002530406,15.2530124531536,12.3077450660997,11.1816695083336,14.7526179601619,12.210953346856,14.5116264058995,15.2414995640802,16.0393612675181,16.8065430052921,16.7943175907159,15.7390268487125,14.7670294729118,14.4083680996433,13.0228273108814,10.1385706492089,12.7632687447346,12.1822923573355,13.1842857734864,12.9825372475676,14.396387438893,15.3645617810146,15.3443597364001,15.3388228648402,13.6014532744665,13.165422282556,11.430178740379,8.89400410449831,11.6453709930509,10.770054908263,10.7477914644768,10.8161543098252,11.4221937261048,12.3147993010843,14.1121223857475,14.1336370163147,13.5306215111776,14.4737200621236,11.3646348964588,9.0500047866739,11.6565398145187,10.9446681022376,10.6155398587286,11.0545205045654,12.2090137165251,13.3550152289505,15.3143311153044,15.4474846438906,14.4153850297627,14.8014044327408,13.0482165473771,10.7836951034831,14.4597359122187,13.6255611301822,13.3536585365854,13.8527090495328,13.8534425292829,13.9292276687807,19.1877794336811,19.6987951807229,19.5424401548209,19.6890268729642,16.2138899349077,12.8446860313686,17.4903561245597,17.3370759738368,17.0783998440774,16.4102796127047,14.601249027315,17.1100176827862,19.0189842921846,18.2345842192977,18.155887767281,17.1722420699361,14.5475996006897,10.3531066595528,15.0263244073859,14.3541460191609,16.96756263657,16.7281748472547,18.7669167117779,20.5606063469862,21.7275810097965,18.5346681787963,13.6790703424404,17.7873018607857,15.5195560726752,10.7458943256083,15.5110721881646,13.4104635086953,14.7430965204753,16.1778618732261,17.7612084826184,18.8142082717313,20.9135355712966,21.1671263963065,20.03612003612,21.4826187081917
395209,"Washington, DC",7,16.8582169709989,16.9226201721951,13.9563969187914,12.3309466984885,14.6944122844434,12.217365967366,14.4633784928027,13.7825124515772,14.9426245450251,15.5351632288452,14.8812106747668,13.7736271110614,14.8712114582422,15.449462869186,12.79224819984,10.0597971522019,11.7156780373047,10.1270916468261,11.0288764862897,10.9400921658986,12.4929089190041,12.748256341288,11.9967105263158,12.3404847178275,13.1089617759378,12.2923343279184,11.1185903781429,7.88970424727596,10.7887751232461,8.8736127959743,9.38045906967296,10.4403252985567,11.4931909943201,12.3713103259568,13.3429996109913,13.9527525838431,15.9674149998088,16.7249567426278,14.3268124280783,10.1190986205124,12.3229916135832,10.1657804191429,10.9534794309881,14.3997947468009,17.678138774557,18.8060466307968,19.6782387806943,19.4104898136107,20.022218424201,20.6979438169707,15.7783324381536,12.2537586565718,14.3506205673759,11.6581677510111,12.6678413026308,15.2529243163684,17.8234646498492,18.2821101428603,18.6752819866267,18.7708432586946,19.3462722128462,19.6260742825552,15.5121489077129,12.0979895469266,13.4804196065256,12.8207889164064,13.572695035461,15.6660904185657,16.4761059703384,17.9852320675105,17.9111761835041,17.2457221081451,17.3916730263716,16.9900058788948,14.6148169538294,10.9512828959409,13.2520736788816,12.0065849643314,13.1082483668112,13.8051754821017,16.8568018430621,17.8358311563316,18.1150764748725,18.7110438729198,19.418423702438,19.0894544576276,13.6398689030268,10.6933249863057,12.3214507514594,11.528604660332,12.1626484346887,11.7083141409489,16.1661834720855,16.6395649508171,17.7587531555263,18.7646908895245,19.6052980913891,21.9446787995661
394856,"Miami-Fort Lauderdale, FL",8,11.256857994263,11.308029829725,10.087161000068,10.5969936933947,11.7841190361034,9.17280988985974,10.1949371766445,9.7022437976779,9.15214420979457,9.48728891056514,9.37163982554276,8.65796649785742,8.33412367223065,8.08545072018126,7.58190171793847,7.08074409854603,8.86760853695195,8.35533314945427,8.17071790809871,8.03362169458249,7.98973207123376,7.85173484394575,7.42393969023226,6.71851512973008,7.26027397260274,6.92092530994859,6.87535809156727,6.10961133571862,8.13732555854026,7.34662557704922,7.39302825045432,6.56980856417332,6.94268297672135,6.30294768177835,6.52588168373151,7.51943933623898,8.44575337260118,10.3000859974955,9.53975238459646,9.42935299366598,12.3171670515781,11.8420297342288,12.1889808331565,12.1625063678044,12.0449318449543,11.8425946589303,12.8724881256851,12.5706320538377,12.4142609482174,13.3509822207515,13.1082267368949,12.4045801526718,15.6512233051565,13.6186950485886,13.9381206342366,10.4437152232843,11.3274529615773,9.86765440319627,11.3831587167307,11.1663467375433,11.4666366675238,11.9738582432117,11.2052437525604,10.6589435120551,14.6388762140669,13.9813408548492,14.1682637557981,13.0597387766755,12.1048288421592,12.3233603664597,11.7118574285378,12.0132438688505,11.6746568693341,10.6585892514395,12.8909388483857,10.9206908917045,15.1184867449546,14.2717376326306,14.827805278344,13.1115245704279,13.6641221374046,12.9684928114667,12.4546282880488,12.7204067675656,8.91877774875947,13.5496418868857,12.961620896489,10.1798633596183,15.3869016658989,14.420728623246,14.8864844239732,14.1777900096326,13.7577885402645,13.799252228933,13.7288160592339,14.3191962619613,14.1285734121168,16.7322054564853
394347,"Atlanta, GA",9,15.0131558582263,15.0945662764779,12.965910506429,12.4739978636083,14.8454622084855,14.2370162422298,15.9760137214083,15.5580592509136,15.4165355864156,16.139648240426,15.4649271058742,14.6422065674722,14.3703554930709,13.587690526722,12.8508057215282,11.4198338457513,13.2322797347343,11.8280288847285,11.924977214947,10.7974427994616,11.9041138149418,11.2184262966088,11.3830746119179,10.3610232014352,10.2159448487906,10.64453125,9.1739785057889,7.1335190132439,10.2914914453598,8.54441260744986,9.60958659103684,9.40501373793372,10.8871457366977,10.0360853454748,11.8351897391388,12.2176883659138,12.6897830335221,13.5969450603597,11.4368679793168,9.10549967900706,11.7175091735582,10.8637068895119,11.5797473164244,12.3159926513337,13.517648579925,14.5431200513589,15.8358856297149,15.8095362565074,15.6705262923053,15.6024784672174,12.599030664554,10.9214767067096,13.4858387799564,11.2733405613781,11.292168616268,11.8956268120345,12.9061309317631,13.7716019376791,14.8997562310333,14.249835656615,14.0756452302866,14.4464847371962,11.3204239071145,9.74884064513481,12.0798049781883,10.6999957882323,11.6561493146245,11.9501744616998,12.1152478457187,13.2819383259912,14.047251339007,14.5577158578115,14.1115742113248,13.5885762346187,11.4715480121261,9.20516795865633,11.507137039736,10.5125512242334,11.4842163559166,11.2217844386346,12.8788824862184,14.2410098652806,15.0460519130656,15.4513856619765,13.4858802519772,13.9795693980769,11.5051572647396,8.38582219639744,10.8126163095863,10.1573116521178,10.7232645598288,11.0235120354477,13.0433942952048,13.9319803539987,14.6165464004028,16.5542647746764,16.1642238507662,18.0859324446745
