"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Bonneville County","ID","Idaho Falls","16","019",478,84900,85000,85000,85000,87900,88000,85900,87900,85000,84000,80000,84900,84900,79900,76900,75000,75500,76000,75000,75000,74900,74900,74000,75000,72500,69900,68200,64900,65000,67500,67500,69000,67500,68250,65450,65000,65000,59900,62500,62500,61900,68750,69900,72000,70000,69900,74450,69000,70000,74000,74000,69000,74900,75000,75000,71900,72900,70000,68000,66900,66900,69000,68040,69000,68000,68000,68000,68000,67300,68000,67500,68000,65120,66500,68000,69000,68000,71500,73400,75000,84250,85000,80000,79000,77250,79000,79950,75000,75000,80000,80000,88500,97500,98750,89500,94950,87825,85000,78000,83500,75000,79500,79500,87500,87500,85000
"Berkeley County","WV","Hagerstown-Martinsburg","54","003",479,111500,112900,109900,105000,99990,99000,97000,95459,96000,95000,90000,89900,79900,74500,74900,78750,79900,79900,79900,75000,75000,79900,79200,75000,74000,74700,74500,70000,71250,69900,72900,69900,69900,69900,69900,70000,69900,70900,79000,79000,79349.5,77000,74999.5,79900,75000,74900,74900,69900,74900,74799.5,70000,69900,69900,69900,65000,64900,64900,61250,64900,67500,68900,68000,69900,69375,73100,75475,69750,78900,79900,79900,74900,64900,68850,60000,64900,66450,69900,69999,69900,70000,69900,69900,69900,67000,64900,65000,65000,64900,68850,69000,69450,70000,69900,65000,69900,79900,79900,79900,79900,79900,80000,80000,83000,80000,80000,80000
"Craven County","NC","New Bern","37","049",480,66000,63900,69900,69987,69900,69900,69900,68700,65000,65000,68000,63995,60000,59000,59900,59000,54900,54900,50000,50000,54900,50000,50000,52900,50000,50500,54900,50000,54900,54900,54900,54900,53500,49000,49900,54900,54900,51950,54700,50000,50000,52600,54900,54900,54900,54900,50000,50000,50000,54900,54900,55000,55000,55000,50788.5,49900,50000,50000,50000,50000,50000,47750,51300,50000,51000,52250,52000,49900,49900,49900,50000,50000,50000,49900,49900,50000,50000,50000,52500,52500,52000,52000,50000,52500,50000,50000,52000,55000,54250,50000,50000,54500,52000,54988,52329,53516,55000,50000,50195,50000,50000,50000,50000,54500,52500,50000
"Whitfield County","GA","Dalton","13","313",481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29900,29900,29500,29900,29900,29900,29900,29900,32500,32300,35000,35000,38750,40000,35450,35450,37950,35000,32300,30000,35000,35000,35000,33500,30000,30000,29900,29701,28850,29701,29937.5,29937.5,33000,32300,34500,34500,34900,35000,35000,34250,35000,35000,34900,35000,32900,30000,29900,29900,29900,32900,30290,30900,29900,29900,29000,29000,29000,29000,29000,29500,29900,29500,29500
"Miami County","OH","Dayton","39","109",482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40777.5,44900,44950,45000,43900,45750,43450,45450,44150,44700,40000,39900,40000,42950,44900,45000,45000,45000,40000,45000,49900,50000,49900,49900,49900,49900,49900,50000,57450,55500,55000,55000,57000,55250,52900,54950,55000,55000,57700,58428
"Cowlitz County","WA","Longview","53","015",483,90000,97000,94700,95000,99000,99000,90000,87750,88087.5,86000,84900,84900,82950,80000,85000,89000,84900,79900,79000,75000,75000,75000,75000,75000,69900,70000,69000,69900,69900,70000,70000,71650,70000,72000,74000,74900,70000,70000,74500,79000,79900,79900,79900,80000,79900,80000,83900,83900,84950,80250,80000,79900,79900,79900,79000,79900,79900,79000,77500,79900,79900,84900,81750,79900,79900,79900,85950,83000,80000,80000,79975,79900,79950,80000,85000,82000,79900,80500,80000,80000,80500,80000,85000,87500,90000,95000,95000,99500,99900,104400,1e+05,105000,107450,109900,101765,1e+05,107450,1e+05,108225,1e+05,113000,119000,128499,125000,125000,125000
"Walworth County","WI","Whitewater-Elkhorn","55","127",484,117900,114900,114250,110000,109900,104900,99900,99900,104900,104500,99900,99900,96000,91000,89900,89900,89700,89900,89900,88250,85000,84110,79025,79050,79900,78650,70000,70000,75000,74900,73900,74900,72450,70000,72900,72500,70000,70000,70000,70000,72900,74900,75950,76400,76400,79000,79000,78000,76200,75300,76000,77150,75950,75000,75000,74900,75000,72000,74900,72000,72000,74900,75000,73900,75000,76900,78000,78000,78000,77950,78000,75000,75000,73350,72250,76000,76900,76900,76000,74900,75000,75000,78000,78000,76900,77900,78000,78000,79900,79000,78500,74950,75000,69900,75000,74900,70000,72000,73000,75000,76900,78900,79000,80000,83000,86000
"Woodbury County","IA","Sioux City","19","193",485,48900,49900,49925,49500,49950,45000,39950,39975,40000,42500,45500,42250,37950,34925,39950,45000,49000,47750,42500,42500,42500,39900,39500,39550,39000,39500,39500,39000,39950,36225,36800,39500,35000,35750,37000,40000,40000,41000,41000,41000,42000,41000,45500,45000,47000,47000,46000,45000,44000,45000,44000,45000,47000,46000,47500,47250,47000,47500,49400,48000,47000,47000,48950,50000,49950,49950,54700,54950,52500,52000,54950,56425,59000,58900,57000,55000,63000,62750,63000,63000,63000,63000,63000,63000,60500,61787.5,62000,60500,60475,61500,63000,61500,61500,63000,62825,57250,58000,58000,56500,60750,61500,63000,59500,59950,59950,59500
"Fond du Lac County","WI","Fond du Lac","55","039",486,74200,73900,74900,79000,77900,77500,74350,74250,74500,70000,73900,73000,69900,65000,67500,64900,63559,59000,58900,54650,52900,49900,45000,45000,44400,44900,44900,41900,44900,44900,44900,45000,45950,46000,46000,46250,44900,44900,45000,44900,46900,48900,49900,45450,44900,45900,44950,44900,43900,44600,43900,43900,44900,43900,44900,47900,46900,47900,44900,45900,45950,46900,46000,46900,54900,49300,49900,45900,45900,46900,45000,45900,44900,45000,43900,41950,42900,39900,39900,39900,39900,38900,38900,39900,39900,39900,38900,36900,36900,36950,37500,37710,36900,38900,38900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900
"Tompkins County","NY","Ithaca","36","109",487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64944,69450,69900,73300,69000,65000,63000,55000,57250,55000,55000,63000,63000,63000,59900,59400,64000,63000,63000,67000,69000,65000,69900,74900,67735,68000,65000,65000,67735,73000,79900,79900,79900,78500,79900,76250,69900,69900,69900,69900,76200,86750,89900,85500,83000,79900,79900,79900,79900,82000,80450,79900,83700,89900,94449.5,89900,92000,89900,89900,85000,85000,85000,82950,88000,89900,95000,94500,94750,94750,97250,99000
