"RegionID","RegionName","State","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
3101,"Los Angeles County","CA",1,5,4.72951870135221,4.66079151352073,5,4.9968316740369,4.96190842749313,4.76303881876637,4.61538461538461,4.34782608695652,4.53074433656958,4.34177601124369,4.26439232409381,4.30360365286816,4.34867691710454,4.44444444444444,4.76758045292014,4.39694069598348,4.36681222707423,4.37434453827897,4.25622472866567,4.07438848016098,4.00801603206413,4.0016006402561,3.97435897435897,3.91348162713531,4.00667779632721,3.77358490566038,3.84763370527126,3.84714029238267,3.86100386100386,4.05540140815732,3.96600566572238,3.99009823745438,3.70644922164566,3.68015414258189,3.37268234729086,3.40731478587059,3.44262295081967,3.39622641509434,3.50877192982456,3.24324324324324,3.25806451612903,3.23815243242728,3.23101777059773,3.12393735122917,3.12603550035885,3.15900315900316,3.0109999410028,3.07754442649435,3.14672348546534,3.1948105265512,3.20835104006625,3.17857233065235,3.07692307692308,3.10679611650485,3.33570876920221,3.26630942609485,3.30528899208108,3.23809523809524,3.15151515151515,3.19018404907976,3.2258064516129,3.22933872904984,3.12174381054898,3.36134453781513,3.08431031017619,3.125,3.07692307692308,3.13479623824452,3.15713962093181,3.07684852059536,3.000600120024,3.06855654776654,2.98283537304476,2.95498308260477,2.81081081081082,3.003003003003,2.88728256470452,2.94290759270159,2.98063255152807,3.15151515151515,3.04449648711944,2.98568507157464,2.82010879041896,2.78494069107788,2.8513356562137,2.77932184546971,2.80175688788264,2.94768030376095,2.9126213592233,2.98507462686567,2.91666666666667,2.84122562674095,2.87374014615939,2.78164116828929,2.72727272727272,2.84446344253358,2.90275761973875
139,"Cook County","IL",2,4.962041959641,4.80961923847696,5,5.26592943654555,5.69811320754717,5.34587311737856,5.00625782227785,4.77326968973747,4.71653168175321,4.69255663430421,4.78260869565217,4.76417341591234,4.8140750781035,5,5.26592943654555,5.66130666732086,5.26592943654555,5.03597122302159,4.76417341591234,4.74119182253153,4.78095238095239,4.64615384615384,4.76701234276131,4.92307692307692,4.89130434782609,4.96062992125984,5.1150895140665,5.88581518540318,5.03030303030303,5.00250125062531,4.82892352913201,4.44642063139173,4.37397484964461,4.299218047778,4.35161009573543,4.1524972262934,4.13333333333333,4.16840350145894,4.66720779220779,6.00240096038416,5.2895384414022,5.03413668543187,4.5475216007276,4.00320256204964,3.7567084078712,3.61881785283474,3.75,3.80934058887117,3.75469336670838,3.88262544680777,4.16840350145894,4.96606490550056,4.66666666666666,4.43478260869565,3.84615384615384,3.59999000234205,3.47490347490348,3.43347639484979,3.51309290615649,3.44827586206896,3.57168498542886,3.44827586206896,3.63636363636364,4.14746543778802,3.70507595405706,3.57270453733476,3.50877192982456,3.30149357962088,3.2258064516129,3.1578947368421,3.12501953137208,3.19091400757167,3.13479623824452,3.17460317460317,3.17460317460317,3.63636363636364,3.33444481493831,3.06754221388368,3.03030303030303,2.98245614035088,3.03797468354431,2.95484639913923,2.94290759270159,3.00191828394107,2.94204177699323,2.85877644368211,2.8146574614976,2.94290759270159,2.98226639690055,2.98507462686567,2.86547277936963,2.82131661442007,2.80636108512629,2.82389630800595,2.89256198347108,2.80581496461814,2.83185840707965,2.85795941697627
1090,"Harris County","TX",3,4.18604651162791,4.15964601769911,4.16666666666666,4.4543429844098,4.34792060902459,4.36344779837808,4.04040404040404,4.0016006402561,3.84615384615384,3.75093773443361,3.63636363636364,3.84615384615384,3.86100386100386,3.97022332506204,4,4.34782608695652,4.1095890410959,4.00333611342786,3.77568134171908,3.70370370370371,3.67450402214118,3.58467243510506,3.57142857142857,3.63636363636364,3.70397807244981,3.76610878661088,3.7826481944129,3.78844361602982,3.70576258785136,3.35244225418218,3.3202356930575,3.2258064516129,3.36083145640552,3.22625396425956,3.34448160535117,3.33555703802535,3.37121417991917,3.2528422947115,3.33555703802535,3.50889504894909,3.51724137931034,3.29032258064517,3.25732899022801,3.2258064516129,3.12565117732861,3.11293260473588,3.12630202902248,3.125,3.1166079267955,3.22807017543859,2.94117647058824,3.27367056896078,3.33407423871972,3.11517576450414,3.0550792095378,3.26884589726484,3.04047535288822,3.15151515151515,3.00146412884333,3.06441525953721,3.10077519379846,3.02861906085024,3.03168113681287,3.09930913487985,3.07692307692308,3.11286478903248,3.07432386863922,2.94290759270159,2.94524595945875,2.89855072463768,2.85714285714286,2.92691963599888,2.8638292697158,2.94117647058824,2.85877644368211,2.92682926829269,2.93719110540208,2.92758089368259,2.79597059802568,2.79329608938548,2.72727272727272,2.74511764803926,2.70343336036767,2.78164116828929,2.85795941697627,2.87769784172662,2.77792438275892,2.92943405162207,2.85714285714286,2.85795941697627,2.78551532033426,2.74509803921569,2.77777777777778,2.71453000862369,2.72752318558746,2.734375,2.7027027027027,2.72776868521549
2402,"Maricopa County","AZ",4,5.26870389884089,5.01117492007176,5.01792114695341,5.49090909090909,5.27641211569003,5.1490514905149,5.18060163268349,4.96277915632755,4.86725663716814,4.78364884543374,4.68227424749164,4.44444444444444,4.17014178482068,4.16666666666666,4.09338997476714,4.17014178482068,4.12802950474184,3.77777777777778,3.5438596491228,3.57142857142857,3.25271059216014,3.07162799653413,3.05584826132771,3.08747855917667,3.07692307692308,3.04347826086957,2.94204177699323,3.15111685852472,3.125,2.94204177699323,2.97866888202788,2.85795941697627,2.65062195781504,2.54237288135594,2.48632668144864,2.38054173031751,2.40202958183217,2.4390243902439,2.4129150931051,2.35820241570927,2.5,2.43930863073724,2.35294117647059,2.28365384615384,2.22596964586846,2.17485863418878,2.13219616204691,2.02771206488679,2.09649654444916,2.12765957446809,2.22222222222223,2.22007666698084,2.29885057471264,2.28596020937614,2.17485863418878,2.07432115941634,2.02020202020202,2,1.96117647058823,1.93050193050193,1.96148188196243,2.00400801603207,1.96463654223968,2.00090950432015,2.00956937799043,2.05409130544851,2.04498977505112,1.96428571428572,1.92307692307693,1.82089392643285,1.72748874390567,1.81818181818182,1.72881355932203,1.78761061946903,1.7467248908297,1.56298843388559,1.81086519114688,1.88873150771168,1.92381685263563,1.82364729458918,1.78571428571429,1.68563003747423,1.61200146077197,1.59357019032163,1.61748599184114,1.66666666666667,1.51561079114884,1.37741046831956,1.66722240746916,1.73586030086906,1.73913043478261,1.72881355932203,1.55844155844156,1.55408524388367,1.53846153846153,1.48936170212766,1.51515151515151,1.60902904504634
2841,"San Diego County","CA",5,4.57754953511078,4.26439232409381,4.2913128177031,4.5475216007276,4.36241610738255,4.34801513931268,4.13862730421765,4.00698188541315,3.84657305070152,4.00064010241639,3.86570048309178,3.79873417721519,3.86100386100386,3.90801221804511,3.94892727653032,3.9380245319561,4.00072013122419,3.7328094302554,3.84758558671602,3.70371056242697,3.52941176470588,3.40738025821695,3.45224395857308,3.38410444342648,3.44851370700358,3.42857142857143,3.21034731526332,3.63636363636364,3.32273893163823,3.48391398566428,3.33333333333333,3.22788896061975,3.2869523350987,3.23874247347555,3.12046444121916,3.03389378002005,2.8568567092998,2.89939112786315,2.85714285714286,2.89100896212778,2.74342352841206,2.89256198347108,2.85877644368211,2.8169014084507,2.80373831775701,2.82051282051282,2.82131661442007,2.66974416017798,2.66666666666666,2.71002710027101,2.77854959711031,2.71117561150184,2.8842319053665,2.85266457680251,2.69395219063419,3.0252741433337,3.00187734668336,2.9458780543503,2.92975644193435,2.83185840707965,2.77854959711031,2.77816363383804,2.88404944084756,2.92275574112735,2.86123032904149,2.85714285714286,2.90275761973875,2.83775655965717,2.94117647058824,2.78551532033426,2.86123032904149,2.85714285714286,2.87769784172662,2.8989708653428,3.08166409861325,2.71688125441566,2.72904483430799,2.94117820069408,2.79730271397146,2.70331156214455,2.75036188972233,2.49983749972916,2.55006675567423,2.47455856897086,2.32558139534884,2.37762237762238,2.24604448520982,2.29885585943875,2.49988920429365,2.40601503759399,2.32856234251908,2.39234449760766,2.39705340699816,2.33100233100233,2.30769230769231,2.25920626553204,2.17426755004544,2.30658390600754
1286,"Orange County","CA",6,4.16666666666666,3.70713623725671,3.66698836053109,4.16666666666666,3.86100386100386,3.8235294117647,3.84615384615384,3.73831775700935,3.6560998063926,3.67731575388776,3.74606335679881,3.65630712979891,3.67341990201072,3.69318181818182,3.75,4.01069518716578,3.78752886836028,3.57168370991774,3.6697247706422,3.50877192982456,3.3548784241305,3.28719741511733,3.38983050847458,3.33317222195371,3.05449533502969,3.07692307692308,3.17736670293798,3.33840578596961,3.22606663926023,3.48391398566428,3.45815019951164,3.31797235023041,3.35978371765216,3.13479623824452,2.89473684210526,2.78260869565218,2.73673760925885,2.77064220183486,2.5706940874036,2.58945443462359,2.68446477005009,2.66963292547274,2.55566551212271,2.63215617966531,2.54710851202079,2.5182296836435,2.56267409470752,2.50031253906738,2.51130696527837,2.45901639344263,2.50138409920155,2.56267409470752,2.48476324425692,2.4764404630031,2.6200129690642,2.63296471827278,2.50958552621988,2.53112880179629,2.43942104407221,2.38123586141207,2.44938903017943,2.41796200345423,2.43912195121951,2.27790432801822,2.47740591010245,2.2991148407863,2.53485424588086,2.47349659756609,2.55006675567423,2.46045694200352,2.47320692497939,2.27531285551763,2.40924636044176,2.36417870208948,2.25336969112523,2.12014796085593,2.3702254113213,2.42724722527138,2.4,2.47678018575851,2.45528455284553,2.32720152134209,2.29182582123758,2.22481648993312,2.2498596482578,2.18102767550494,2.30149597238205,2.18532192871809,2.30773847758987,2.35714285714286,2.40270307854789,2.30017327354735,2.32135518869461,2.28285685924162,2.29597635826324,2.27272727272727,2.23748200497317,2.2442272093938
581,"Kings County","NY",7,4.76190476190477,4.25531914893616,4.95238095238095,4.26666666666666,4.8999599839936,5.27704485488126,4.78468899521531,4.16666666666666,4.49301242236025,5,5.0125313283208,5.01792114695341,4.7496,5.28170651193498,4.41767068273092,4.76852790531539,5.0125313283208,4.8,4.50831888142206,4.76947535771065,4.18410041841004,4.48276347263262,3.87897595034911,4.4543429844098,4.28571428571428,4.55583229555832,4.76947535771065,4.77326968973747,5.00625782227785,4.55753958637689,5.29100529100529,4.35729847494554,4.9049049049049,5.01792114695341,5.23412078763694,4.86409155937053,4.37158469945356,4.4543429844098,4.4543429844098,5.33333333333333,5.00939457529932,4.5475216007276,4.32801822323462,4.51031676838128,4.28545763050204,4.5475216007276,4.13928874371732,4.39978919631094,4.44444444444444,4.43484480935498,4.36363636363636,3.92156862745098,4.76209523809524,4.44787849353173,4.08673894912427,4.00164128102482,4.43961352657005,4.03934051854529,3.89105058365758,4.50204638472033,4.54545454545454,4.23728813559322,3.99197526179997,4.34782608695652,4.11522633744856,4.00801603206413,4.03780208791866,4.00333889816361,4.00228289981671,4.19354838709678,4.34782608695652,3.76216343728089,4.01606425702812,4.24887169568021,4.17014178482068,4.46096654275093,3.70679272945119,3.58974358974359,3.48166983702905,3.37837837837838,4.00160128102482,3.81406691195345,4.04040404040404,3.84763427488601,4.34012400354296,3.84615384615384,3.42857142857143,3.15548465967706,3.34448160535117,3.64784738334623,3.70370370370371,3.84615384615384,3.76470588235294,4.11522633744856,3.5483870967742,3.84578402224623,4.00240160115287,3.84615384615384
2964,"Miami-Dade County","FL",8,7.40740740740741,7.01754385964912,6.77278044081558,6.94935217903416,6.86440677966101,6.81818181818182,6.6711140760507,6.21521759808869,6.22655663915979,6.25,6.52315751650056,5.98119623924785,6.13139992839241,6.15384615384615,5.78616352201258,5.84905660377358,5.78781860311155,5.76923076923077,5.88581722441627,5.56173526140156,5.26315789473685,5.55050045495905,5.61643835616439,5.29100529100529,5.26315789473685,5.29701779701779,5.06329113924051,5.70754716981132,5.0561797752809,5.55555555555556,4.85714285714286,5.0761421319797,5.00834724540902,4.76644423260247,5.12820512820513,5.05050505050505,4.78364884543374,4.77611940298508,4.9438202247191,5.18752930145335,5.07936507936508,4.68705344384109,4.44543231829295,4.53074433656958,4.41176470588235,4.44642063139173,4.25531914893616,4.4120891480581,4.21141292903769,4.16666666666666,3.9186156390267,4.16,4.00320256204964,3.76036477414823,3.84615384615384,4,3.85085374113285,3.80890897353131,3.89280332926742,3.7101262792507,3.64298724954463,3.69393139841688,3.66612938557941,4.04040404040404,4,3.95667674184298,3.92857142857143,3.76155308618077,3.67461150700712,3.77358490566038,3.57792601576713,3.63636363636364,3.68807339449542,3.46020761245674,3.49549850187141,3.65853658536586,3.46875,3.40986587860878,3.5483870967742,3.50877192982456,3.53915577746298,3.40909090909091,3.48216090095717,3.37360819295786,3.50105598250464,3.46590909090909,3.38713343941804,3.40909090909091,3.57270453733476,3.41296928327645,3.42896331009258,3.37078651685393,3.29001061193111,3.13050295685835,3.19747235647023,3.18181818181819,3.23101777059773,3.24820875580878
978,"Dallas County","TX",9,4.49438202247191,4.44444444444444,4.37818657987401,4.76644423260247,4.65332712889717,4.47865640307907,4.2454832775131,4.04663923182441,4,3.86100386100386,3.84763370527126,4,3.98039268725293,4.08627039386755,4.17014178482068,4.76190476190477,4.16840350145894,4.00320256204964,3.97476299356684,3.8721035892776,3.5778175313059,3.46076458752516,3.55555555555556,3.70644922164566,3.54687342325675,3.70644922164566,3.59680676511422,3.82807692307692,3.94863604096948,3.50877192982456,3.27915979073768,3.22788896061975,3.34504107032363,3.28885514949964,3.26441784548422,3.23101777059773,3.33388907413582,3.35195530726257,3.27905574222452,3.57467729359785,3.45890898309389,3.3505584264044,3.23624595469255,3.2258064516129,3.09090909090909,3.22788896061975,3.18807387312187,3.125,3.1578947368421,3.14031180400891,3.30403152470445,3.40624715624716,3.34397332547194,3.55266952251593,3.33388898149691,3.44860766124956,3.33344444814827,3.29032258064517,3.22927879440258,3.33444481493831,3.17460317460317,3.2258064516129,3.35570469798657,3.06435137895812,3.12695434646654,3.36417157275021,3.25409069658719,3.08166409861325,3.03352102851684,3.03030303030303,2.9589783958716,2.87769784172662,2.96958800044033,3.03214069132808,2.85714285714286,2.63157894736842,2.76110444177671,2.76497695852534,2.77932184546971,2.77932184546971,2.95857988165681,2.81081081081082,2.71581715944132,2.85768717851019,2.7804815068795,2.85714285714286,2.62132856090115,2.48780487804878,2.63164820126846,2.79642058165548,2.85836793032919,2.72556390977443,2.6829268292683,2.66666666666666,2.56653310292537,2.47318006354645,2.50469728764966,2.46796776111681
1347,"Queens County","NY",10,4.1038214554426,4.16420175072947,4.18410041841004,4.35185185185185,4.3859649122807,4.77326968973747,5.0251256281407,4.56571371848322,4.44444444444444,4.93697661867373,5.26315789473685,4.64007959244405,4.5662100456621,4.46841294298922,4.8,5.20062441778372,4.8951048951049,5.07944652121153,4.22749608806655,4.11522633744856,3.86100386100386,4.04778836580856,3.86100386100386,4.08805031446541,3.93013100436681,4.17886156145878,4.16670138917824,4.36681222707423,4.44444444444444,4.29046954334187,4.00801603206413,4.01606425702812,4.01129943502825,3.86100386100386,3.80013315704091,4.01606425702812,3.77173407717341,3.63577961078552,3.99365002477631,3.63308782767087,3.75,3.86100386100386,3.63636363636364,3.584229390681,3.71747211895911,4.00400801603207,3.40909090909091,4.02166452776244,3.75469336670838,3.74975937439843,3.66197183098591,3.64575833767154,3.44862068965517,3.58974358974359,3.49288847905664,4.01606425702812,4.00734691419567,3.55042016806723,3.75939849624061,3.584229390681,3.58181978487039,3.68339310536558,3.89160829704951,3.75939849624061,3.46572362136466,3.40304021260756,3.71302706104468,3.85356454720617,3.42271396029938,3.6410457350221,3.63967544295413,3.42298288508558,3.92292911219864,3.71057513914657,3.59244301250926,3.46697722038614,3.39892665474061,3.29512893982808,3.10378565515165,3.63636363636364,3.41496598639456,3.3432165802814,3.62661708470426,3.64298724954463,3.584229390681,3.52429746933706,3.41394716394716,3.52112676056338,3.23014828250016,3.2318881956437,3.45949325558217,3.38410444342648,3.48837209302325,3.37166741140924,3.54471501060488,3.29476311057287,3.41296928327645,3.40812296732229
