"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Spartanburg, SC",146,225000,221200,219927.5,220000,224800,225000,225000,219900,219900,219900,219000,218900,216426,218777,215000,208990,210900,214900,214900,215000,219900,219900,219900,219900,215750,209988,209900,214900,215500,215000,214662.5,210000,218000,219777,219900,224900,220013,219900,219900,221450,219900,219500,222500,219900,220000,219900,219995,220000,219947.5,220000,225000,222500,223505,220000,221709,224900,224205.5,223990,227500,229900,226990,225000,225000,229900,229900,227000,233180.5,233363,236990,233966,231160,231410,226700,227500,229900,234900,234900,239293,234900,234900,234900,237900,234900,231906.5,233645,234900,235000,233100,236900,238000,237900,237990,239900,240908,234900,236916,233600,235777,235535.5,238161,243390,244900,245243,244200,247815,244990
"Evansville, IN",147,219900,224900,217900,215000,214900,215000,214900,212900,218200,216500,216750,214950,219900,219888,219888,219900,219900,224694,219900,215000,214900,214900,214900,209900,214000,205000,207900,207900,214900,209000,215000,219900,224900,216900,219900,219000,217900,214900,216900,216700,219900,224000,224900,224900,225000,225000,225000,229900,229900,229000,225000,224900,224900,227900,229900,229000,225000,225000,224900,225000,223737.5,225000,227950,228000,229945,229900,229000,228950,229000,229000,229000,229900,229925.5,235000,236700,239900,239900,240000,240000,245000,245000,240000,243700,240000,239900,244900,239950,243000,248026,244000,249900,255000,259900,259900,259900,260000,245000,245100.5,241550,248900,249500,257900,258900,249000,249900,249900
"Kingsport, TN",148,239900,235900,229900,229900,235000,239500,239900,239000,234150,234900,229900,229900,229974.5,229900,227700,224900,229000,228200,229000,229900,228000,228000,229900,235450,229900,234000,235000,234900,234900,225000,225000,225000,224994,225000,225000,225000,225000,229900,234700,234900,235900,235000,238500,238000,239000,229900,229900,229900,235000,229900,237600,244950,244900,242500,239900,239900,235000,235000,238500,238000,239900,245000,239900,247000,245000,239900,248200,239900,239900,239900,239900,239900,235500,239000,238125,239900,249000,248768,259900,259900,259900,260000,260000,264900,259900,259900,265000,264900,265000,269000,264700,259900,259949.5,259900,263865,265000,265000,274675,275000,279900,284700,284900,279900,275000,279000,279900
"Roanoke, VA",149,339000,339900,339500,339500,339500,338000,334450,330000,338000,334950,335000,329995,329950,324900,314950,310000,315000,305000,309900,305000,309900,309950,314925,314000,315000,314700,302500,309000,304500,309000,309925,310000,319000,319950,319950,314950,319000,324000,325000,325000,329000,329000,325000,324950,327750,329900,339500,334900,331450,329000,322000,331444,329950,329950,329900,338450,338000,334950,330375,339450,334900,335000,340975,343700,336450,329999.5,334500,329974.5,335000,337975,339000,339000,349500,349894,339900,335900,349000,345000,348000,348000,345000,342500,349000,349500,349950,349950,349950,349950,350000,349950,349950,349000,349900,349000,349000,349900,344950,345000,349900,349900,349900,349900,350000,350000,359900,359950
"Green Bay, WI",150,239900,239900,239900,239000,235000,239900,239900,239500,239900,235900,239900,234950,238500,229900,229900,229500,225900,225900,224900,224900,224900,225950,225000,224900,224900,225000,224900,224900,224900,228000,225000,224900,227900,229900,229900,229900,227700,225000,224900,229900,226950,229900,229900,229900,229900,229900,229900,229900,229900,227900,235000,239900,239900,242900,241500,244900,244900,244900,245000,244900,244900,244900,242900,244900,249900,249900,249900,259500,260000,264900,269000,274900,269900,274900,274450,275000,269900,272000,275000,279000,279000,280500,289900,289900,284900,289900,283000,279900,283250,279900,279900,284950,289900,299900,299900,309900,310000,299900,3e+05,299900,308950,309900,304900,308450,304900,299900
"Lincoln, NE",151,229900,232450,234950,239900,239200,229950,229950,239900,235700,234500,235000,234900,234900,238250,238250,234950,239000,234900,234900,236950,232900,229900,232250,234700,234925,229900,229900,229000,229900,234900,234900,236500,239500,249900,244000,239497.5,239995,243950,241425,243900,248800,265000,269500,263000,267500,269950,270775,275000,274098.5,269150,271000,274000,279900,276700,279000,284950,284900,279900,284925,289900,289000,292000,289900,289970,299500,299000,298500,298000,299950,299999,299900,299750,297200,299750,304900,307653,314900,309062.5,309950,319000,323100,325000,324900,324900,325000,329900,324900,325000,325000,325000,329000,330000,337500,335000,337500,349500,340000,346500,349667.5,350000,350000,349950,349900,350625,354900,354900
"Fort Collins, CO",152,449000,435000,430000,425000,425000,425000,425000,425000,419900,419900,413000,4e+05,415000,399900,399900,408500,405000,4e+05,399900,407500,419000,415000,415000,415000,417250,410000,415000,415000,410000,419000,429000,427250,434900,437500,434978,439800,434900,433522.5,433900,439600,443950,449950,450000,449900,455252,461000,465000,459900,465000,455000,459800,458900,465450,464900,468697.5,475000,475000,475000,479775,480000,485000,479900,479000,480897,481186,489975,494000,499000,499000,501940,515000,519000,515000,525000,535000,540000,549500,549900,550000,550000,559000,553899.5,575000,576491,580000,580016,579962.5,590000,592000,599000,595000,595000,595000,595000,595000,599900,599949.5,600892.5,6e+05,6e+05,610000,619950,618626,623700,626545,630000
"Utica, NY",153,219000,219950,219900,209000,209900,219900,216950,210000,219900,209950,215000,219000,219450,215000,199900,199900,204900,199900,199900,199250,199000,199000,199900,199900,205950,199950,201500,201500,199900,199900,199900,199900,209000,199900,217000,219900,219900,199900,199900,203450,209900,207750,199900,199000,195000,199900,199900,219000,210450,218500,209900,209000,209000,209000,199900,199700,199500,199900,199900,199900,199900,199700,199500,207500,219000,219000,213000,215000,214950,214950,216450,215000,220000,224900,224900,220000,220000,219000,220450,224900,224900,224950,229900,229900,229500,230000,229900,229900,229000,225000,229900,229000,227500,226250,229000,229500,230000,229950,235000,239900,244900,249000,249900,245000,247450,245000
"Boulder, CO",154,729700,699999.5,699900,698000,695000,689000,689000,689000,685000,685000,681021.5,674900,659000,669000,669450,654500,650000,659900,675000,675000,675000,675000,675000,675000,675000,675000,669950,679900,685000,689000,696850,699900,709900,699500,7e+05,729450,715000,725000,716000,719900,724000,749000,757000,749250,752000,773900,775000,759900,750000,749000,749900,749974.5,750000,762500,775000,750000,775000,777000,797000,799000,819500,825000,825000,850000,848250,835000,849350,875000,895000,899000,925000,975000,982500,977000,986000,950000,950000,950000,950000,950000,950000,950000,987000,998750,999999,1020000,999000,997500,995000,995000,999900,995000,995000,985000,975000,979000,995000,1036824,1075000,1086250,1049000,1050000,1074900,1062500,1042419.5,1060000
"Lubbock, TX",155,249000,249000,245000,237500,234900,224900,219900,224900,219950,219000,223675,222500,224950,219900,219900,219200,219700,219000,219500,215000,215000,214500,220000,225000,228500,219950,224950,226825,229000,229000,227725,225250,229500,230000,233200,231000,229900,220000,234975,239950,249950,246200,249950,245250,249850,260000,259999.5,269250,259250,269000,264400,264400,269900,265725,258000,267700,269900,260500,265000,259900,269000,269900,269950,267900,263947.5,268500,274925,271400,267732,264990,269000,278000,275000,273250,279900,275000,250775,257675,258450,260000,254950,249975,253812.5,259900,247076,263500,274938.5,294900,295000,296200,297000,297000,295000,290000,290000,274700,269900,275912.5,285000,286450,284700,279000,279900,279000,275000,279950
