"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"York, PA",109,109900,109900,109900,110900,110900,112500,110000,110000,110000,109900,105900,105000,104900,104900,105000,99995,99900,99900,99000,94700,94250,91900,89900,89900,89000,89900,89000,84900,79900,79999,79900,79900,79900,79900,79900,79900,80000,79900,80000,79900,79900,79923,79900,79900,79900,79900,79900,79900,76500,78911.5,77000,79900,79900,77000,76000,75000,78500,78700,75000,74900,74900,77708.5,79900,77923,79900,79250,79000,79900,80000,81900,82900,79900,79995,85000,84900,84900,85000,84900,84000,84000,80000,80450,80000,82500,84900,84900,87900,87950,88850,89900,89900,89900,89900,89900,89800,89900,89900,89900,94734,95000,96900,98000,95000,94500,94900,94000
"Corpus Christi, TX",110,60000,59900,60000,60000,59900,59900,56000,59900,59900,59900,59900,59900,54900,49900,55950,55440,55000,50000,49900,49900,49900,49000,49000,49000,49000,49900,49500,49900,49900,49900,49900,49900,49900,49900,49900,49900,47710,45000,48000,49537,49900,49900,49900,49900,49900,49250,48900,50000,50000,49000,50000,47900,49500,45900,45000,45250,49900,49900,50000,50000,49990,52000,50000,53000,51500,50000,52000,51900,53800,51600,51700,55000,54900,58500,58500,58000,57900,58700,60000,62000,65000,65000,67539.5,67539.5,68000,69000,68000,68000,69000,67000,67000,66298.5,65600,65900,65000,65000,65000,64850,60000,60000,65000,64500,64500,65000,65000,65000
"Flint, MI",111,21000,20000,19900,20000,20000,19900,19900,19900,19900,19900,19900,19900,19000,18000,18000,17900,17900,17000,16900,16500,15900,15900,16500,15000,15900,14900,14500,14900,14900,14900,14800,14900,14900,14900,14900,15000,14900,14900,14900,14900,14900,14900,14000,14000,14000,14900,14900,15000,16900,17000,16500,17499.5,19700,19900,19750,19900,19900,19900,19900,19900,19900,19900,19900,19900,19900,21900,20000,20000,19962,19900,19900,19900,19900,19000,18900,19900,19995,19900,19900,20000,20000,21400,22000,22000,22500,22995,24900,23500,24499,25000,25000,25000,25000,25000,25000,25000,26900,27900,28000,28000,27950,29900,29900,29900,29900,29900
"Reno, NV",112,105000,105000,105000,105000,105000,108000,105950,104900,99900,99500,98500,95000,94455,87500,88600,87700,85500,83265.5,81000,83450,79900,79000,79000,77900,79000,79000,77750,75000,75000,74900,75000,72950,76350,78000,75000,79000,78050,77500,78000,79300,79200,79900,85000,86000,89000,89450,89000,88000,91500,99000,1e+05,1e+05,99900,104700,105000,106000,104250,99000,99000,1e+05,109250,108750,115000,113250,124900,125000,129900,139250,137900,140000,139900,139800,139900,140000,144500,144000,144900,150000,149900,151000,157500,160000,165000,160000,159000,155000,159900,162000,169900,171350,168500,175000,170000,175000,175000,174000,170000,180000,184900,185000,192250,198450,2e+05,209000,209999.5,205000
"Asheville, NC",113,89900,89900,89900,89900,89900,89000,89900,90000,89450,85000,80000,79900,74900,69900,70000,69900,67000,65000,61625,60000,60000,60000,60000,60000,60000,59900,59900,60000,62000,62000,61550,59900,55125,56000,59000,59200,59000,59200,57900,55000,58000,59000,59000,59500,59900,59000,59900,59000,59000,59000,59000,59000,59000,59500,59000,59900,59900,59500,59000,59000,58000,59900,57500,59000,59000,59000,59000,59000,59900,55000,55000,55000,55000,55000,55000,58900,55000,58000,58400,59900,59999,60000,60000,60000,60000,64000,64000,64900,65000,65000,65000,65000,65000,65900,67500,67365,66900,69500,69900,69900,69900,69900,69500,69900,69500,69500
"Santa Maria-Santa Barbara, CA",114,199900,199900,205000,209777,210000,214000,219000,219900,215000,211800,219000,209900,208150,199638.5,199900,199000,195000,189250,185000,189000,187500,179900,180956,175000,170250,169000,170000,175000,176000,179000,179000,179000,175900,179900,179900,183000,188400,193450,199000,199000,199250,208000,199900,199000,210000,220000,225000,229000,229900,245000,249000,255000,265000,259900,269700,269900,269500,259900,265000,269900,268950,268900,268400,280000,275000,285000,294450,295000,299900,309000,3e+05,299900,299000,304950,3e+05,299900,320000,320000,325000,325000,325000,325000,324900,325000,325000,325000,325000,325900,324900,325000,325000,324900,338750,333990,329999.5,330000,325000,329000,339900,349000,349900,351500,353500,349900,355000,350000
"Fort Wayne, IN",115,51900,52950,53995.5,54900,53900,53600,54500,54900,54900,54900,53971,50900,50000,49900,51900,51950,51825,54000,53800,53100,50000,49900,49900,47900,45025,47700,48000,42450,49350,49900,49250,49900,49550,49500,49900,49400,48900,49900,49900,49900,49999.5,52600,53900,54321,53900,50000,47900,49991.5,46900,49900,48250,49900,49900,49900,55000,50000,55000,49900,51350,49900,49900,49900,50000,49900,50000,50000,50000,51900,50000,49900,50000,49900,49900,49900,49950,50950,50000,50900,50900,49900,51900,50000,50000,50000,50900,51900,50900,52900,52900,51900,50900,52900,51950,53500,52000,52900,52900,50900,53900,51900,53900,52900,54900,55000,55900,58000
"Salinas, CA",116,,,,,,,,,,,,,,,,160000,159070,159000,159900,167169.5,169900,165000,164874,163000,163500,166800,168500,164900,165000,168000,170000,160000,164200,162250,156900,169900,169900,176450,172000,169500,175000,175000,175000,177000,189000,195000,195000,199000,215000,208500,219900,220000,219900,225000,239950,249000,250000,249900,249000,249900,256000,249000,265000,265760,265000,274900,272250,272000,280000,280000,280000,289000,289000,299000,299000,292450,289700,299000,3e+05,315000,324900,325000,325000,325000,325000,328500,325000,325000,329000,340000,345000,349450,340000,349000,339999,347000,345000,335900,340000,347425,345000,346500,349700,355000,353500,358500
"Vallejo, CA",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,229250,230000,235000,230000,234900,239000,239000,239925,240000,239000,239000,245000,249000,250000,259894,265000,269000,268994,269000,270000,269500,269000,270000,279999.5,289000,289900,295000,298000,299000,298950,298900,299000,299000,299000,299000,3e+05,310000,310000,315000,315167,329000,325000,330000
"Reading, PA",118,74968.5,74918.5,74992.5,74992.5,74900,74900,74900,74900,70000,69950,69900,69900,69900,69900,69500,67000,68950,69900,69900,69900,69900,69900,69900,69650,69800,67900,68900,69900,69000,69620,69900,65900,65000,65900,67500,65900,65900,65000,67000,64900,64900,62900,64900,62900,63950,62450,64900,63000,61380,62000,62000,63000,64500,64500,64900,64675,64500,63000,63000,59900,60000,60000,62900,64900,67900,66800,68000,68000,67000,67000,66200,67900,65750,68000,69900,69900,69000,69600,67900,69300,69900,69000,65950,65000,65000,65550,67500,67900,69900,69900,73900,71220.5,70000,71900,74900,74900,74900,72000,72000,74900,75900,75900,74900,75000,75000,77638.5
