"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Syracuse, NY",79,149396,149900,149900,149900,156900,155000,154900,149900,148500,144900,144900,144900,143995,149900,149000,148700,149900,149900,149900,149900,148450,145900,148500,145900,147000,148500,149000,149900,148500,145000,144900,144900,145000,148500,145000,144850,140000,143000,147500,149900,149900,149900,149900,149900,149900,149900,149900,149900,149900,155000,159000,159900,162500,160000,154900,150000,149900,149900,149900,146900,149900,149000,149900,149900,149900,149000,149000,146500,143900,139900,139900,135000,138000,139000,139900,144900,147700,149500,145900,145000,140000,138900,135000,134900,134900,134900,139900,139900,144900,147500,145000,144900,142900,139900,139900,136250,134999.5,139900,144900,149900,149900,154900,154900,155000,152999.5,149900
"Colorado Springs, CO",80,224900,224500,221100,223500,224000,224500,220000,220000,220000,219900,219000,214900,210000,210000,209000,206900,210000,214000,215000,215000,214900,210000,209900,209900,205000,209000,214849,219900,220000,224900,224450,220000,217000,219000,215000,215000,218500,219900,224900,229875,229900,230000,229900,235000,235000,229500,234000,230000,234900,237500,239900,249900,259000,260000,259900,259900,256950,254000,250000,252500,259900,259500,262000,269900,275000,274900,269900,269900,269900,267972.5,269900,269900,274900,270000,280000,285000,289900,289900,284900,280465,279900,279900,281292.5,286000,292445,299000,299995,304900,317874,321400,324900,320000,325000,325000,324900,329700,327000,330000,337260,345000,340000,337000,329900,329900,325000,325000
"Winston-Salem, NC",81,159900,159900,159900,159900,159900,159900,157000,154900,153900,149900,150000,149900,149000,149000,148900,149500,149900,149900,149900,149900,149900,145000,145000,142900,141250,144900,149900,149990,149900,148000,149900,147000,144900,144900,149900,145000,144900,145000,149000,149900,149900,149900,149900,150000,154900,151500,149900,149700,150950,155000,159000,161200,162000,163000,161990,159900,158900,155000,156500,155000,157900,159000,157500,159900,165000,165000,167000,165900,161195,159900,164500,165000,165000,161900,166900,169900,172622.5,173250,169990,169900,169900,169570,169900,169900,171950,174900,179900,182900,187500,188900,185000,184700,184900,184900,184900,187976.5,185000,187725,189900,192400,189900,190000,192500,189999.5,191605,189900
"Wichita, KS",82,135000,135000,138865,138000,138999.5,139500,135000,134900,134900,132500,129900,127000,124900,125000,128250,128000,129900,130000,129900,132000,130000,129900,129900,129000,125950,128500,127000,129900,129900,131950,132860.5,130000,129900,129900,130000,128000,128900,129900,130000,132900,134000,132500,129900,129900,129900,129900,129900,129900,130800,132500,135000,139900,143000,142000,139900,139900,139000,135000,135000,134900,134900,139900,142000,144900,148900,149900,147900,145000,145000,145000,142000,140000,141000,143900,148250,149900,149945,154000,154900,149900,149900,149900,149900,149900,150000,154900,155450,164500,168000,166800,165000,165000,162250,159900,159900,158250,160000,168000,169000,174900,179000,179900,177900,175000,175000,170000
"Springfield, MA",83,214900,209900,210000,214900,215450,218950,215000,210000,209000,205000,199900,192500,189000,189000,189900,195000,199900,199900,2e+05,199900,199900,198000,189900,189000,184900,185000,190000,199000,199900,205000,2e+05,199900,199500,197500,198800,189900,189900,189900,199900,209000,215000,219000,215000,214000,209900,209500,209500,204900,199900,209000,210000,218700,222000,222000,219900,219000,214900,210500,208441,199900,198000,199500,2e+05,217250,222500,219900,219900,219000,218500,215000,210000,204900,199900,204250,209900,219888,225000,225000,224949.5,219900,215000,219900,217400,210000,209900,209900,219900,224900,229900,234900,237900,237500,237700,229900,229900,225000,225000,234900,234900,239900,244900,245000,240000,235000,237700,235950
"Fort Myers, FL",84,180540,179900,180000,180000,175000,170000,169000,165000,164900,164900,170000,169900,175000,179000,179900,175000,189500,179000,174900,174900,174900,179500,179000,182900,187500,187760,185000,189900,195000,194900,190000,198000,195000,179900,185950,189900,189900,190000,194900,199000,199900,199000,199000,189900,199000,199900,209700,214900,210000,214456,209900,215000,209900,213606.5,209000,210000,210000,214900,224900,224900,232900,232000,239900,240000,239900,239000,239900,239000,239000,247900,249900,255550,259900,259900,259000,260000,260282.5,259900,259900,257999,259000,265000,269998,275000,274900,274000,269999,273270,272500,274900,270000,269900,269900,269900,274900,275000,278900,279000,279000,279000,275000,275000,275000,274099,271950,275000
"Boise City, ID",85,157500,155000,153011,153900,154900,150000,149900,149900,145900,144460,140000,137500,133425,129994.5,130000,129900,135678,139900,139900,139900,139830,139900,135494,133500,133500,138195,139900,145990,150000,150000,155000,159900,156704,159900,159900,159900,161990,167290,174900,184900,189900,189900,189900,189900,195000,191801.5,184374,154490,157499,174900,184900,190990,191990,194900,195900,194990,193990,191990,189990,191015,192384,193990,198900,225000,224500,224900,224900,220253,224500,224990,225000,225000,229900,229000,233453,232900,239900,243000,240990,239900,239900,239990,241945,242990,247900,254900,259900,268689,269900,272650,269900,265000,266990,265000,269900,275000,289900,293990,295000,305000,309999.5,315000,319900,317065,312000,309900
"Toledo, OH",86,112900,114900,110000,114500,114900,114900,113900,112900,109900,109900,109900,102900,99900,99999,104062.5,104900,109900,107900,105700,108500,104900,99900,99500,95950,98500,97700,99900,99900,99900,99900,99900,99900,99900,99900,99900,99850,99000,99900,99999.5,109000,109900,109900,112900,114900,114950,124900,110000,110000,107900,109900,109900,112000,114900,117000,117000,115000,114900,114900,114900,109900,109900,114900,119900,119900,122500,124900,124900,124900,124500,119900,119900,117900,114900,115900,119900,124900,129900,132500,129900,129900,129900,130000,129949.5,128838.5,127000,129000,129900,137200,139150,134900,130000,129900,124900,124700,119900,119000,117950,119900,129900,134900,139900,140000,139900,139000,134900,129900
"Madison, WI",87,204900,209900,210250,209900,210000,210000,209900,209900,201900,199900,199900,199900,199500,199000,199900,199900,199900,199900,199900,199500,198000,195900,194500,189900,189900,189900,195000,199000,195000,197675,195000,193900,189900,189900,189900,189000,188500,190000,194900,199900,2e+05,207900,209500,206950,209500,2e+05,199900,199900,199900,2e+05,212000,214900,219900,224900,225000,224900,224850,219900,219900,217000,219900,224900,229900,234855,234900,239900,239900,239900,239900,239900,245000,249900,250000,250000,250000,259250,260000,264900,265950,265000,269000,269900,265900,269900,269900,275000,278650,279900,279900,279500,279900,279900,279900,279900,280000,279900,298100,299900,299900,299900,3e+05,3e+05,299900,299900,299900,299000
"Lakeland, FL",88,139000,135000,130000,129900,129000,125000,125000,125000,130000,129900,129000,125000,124900,124900,124900,120000,120000,124900,124900,123900,120000,119900,124900,123995,123990,121507,120000,119900,122900,125000,126995,129900,128900,129900,130990,134500,135000,135000,136990,138945,140000,149000,147950,144900,147900,149900,149900,149900,150000,152700,157535,154995,154500,149900,159000,159900,159900,161990,164290,162900,163420,164900,164000,163412.5,164900,167000,167000,173575,174990,173990,175000,175000,174990,175000,175900,179900,179900,179060,179900,179900,179900,181999,184499.5,184900,189900,189000,189000,192500,195000,196900,197990,199500,200850,201999,207900,207900,208990,209990,209900,210900,213723,214899.5,215000,215945,218770,216900
