"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,178.497023809524,177.283653846154,178.268251273345,180.66265060241,181.726750261233,181.569343065693,182.072829131653,181.984015518233,181.50467311394,181.173023968267,181.166272655634,179.398937648426,177.362840035482,173.611111111111,177.035196002086,177.429994042046,176.556742815033,176.417353260729,173.611111111111,172.176308539945,169.787146604136,168.332329634554,167.332613390929,167.514830802708,166.84265338014,165.388654947761,166.468489892985,164.479277574037,166.490417785998,165.965612209995,169.270833333333,168.379218472469,168.305718866916,171.551155115512,171.689989235737,177.517441095169,181.260457334077,182.753832091126,187.5,194.007490636704,202.477477477477,208.333333333333,212.337576861596,219.28895612708,222.088835534214,226.066597017508,225.651577503429,227.930544233531,229.002624671916,231.227704986872,222.885572139303,238.437001594896,242.847889206157,245.740498034076,246.899541979702,251.705320600273,254.338779101567,254.015931844218,254.545454545455,249.375,250.455373406193,247.858752817431,251.081830045925,254.713375796178,256.572947394297,263.049972802641,266.830870279146,270.157938487116,270.485754037868,269.234932349324,262.816353017521,273.026393294782,272.448196469685,271.837875611461,276.404494382022,280.041797283177,287.338893100834,290.472501936483,292.056005077656,295.031055900621,295.384407551192,297.437062126616,298.607638888889,298.843929432918,302.955665024631,305.274115197779,310.963190858716,312.971342383107,319.589858999448,319.610476830087,322.337467424279,322.361809045226,322.756617172369,323.029366306028,325.271059216013,326.898332704223,328.185328185328,332.711038961039,338.378450578807,343.410613776467,346.038114343029,347.826086956522,348.508992020945,348.60529986053,351.239669421488,352.990033222591
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5833333333333,49.161898409801,48.0716253443526,47.9233226837061,48.6875,48.5119047619048,48.0863591756624,48.3244965246837,49.8891352549889,48.6156204906205,48.4466019417476,47.5889273356401,46.2587962962963,45.3636363636364,45,45.3374741200828,45.7692307692308,44.8017006749619,46.1538461538462,47.3673601376685,47.1698113207547,46,44.5138182793877,44.8741007194245,45.6016200496577,46.873778342455,49.875,51.0227272727273,51.9943181818182,52.2341809696418,50.6986121857204,51.3826366559486,51.9031141868512,51.4144979032619,51.6760043414455,50.2742230347349,50,50,51.5892672858617,53.0214038834728,54.6875,54.5520757465404,56.4971751412429,55.5000660350559,55.1591128254581,58.3126550868486,58.3333333333333,57.8425919867391,57.6923076923077,59.0539772727273,61.5641863843919,63.0517023959647,64.2142857142857,61.7382953656677,59.5498437943766,60.0446713184634,61.5108385838584,62.0121212121212,61.2264150943396,62.6884422110553,64.8698745084287,67.1760391198044,68.8596254155293,72.2789115646258,70.8269872263457,71.6197058302321,71.8786737430805,72.3317548242863,71.3152985074627,71.6535433070866,70.9280303030303,71.875,77.3532311369451,83.3333333333333,85.2502670233511,87.7896613190731,88.3928571428571,88.2352941176471,87.3740032928382,85.4603076894595
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,53.7981859410431,54.2121212121212,54.5189504373178,55.3721640678162,54.9189814814815,54.2021924482339,52.9942965779468,53.1691985332635,53.0429594272076,52.4459626370233,52.6579739217653,51.2115563839702,50.2908747563353,49.7237569060773,49.1539081385979,49.254586175651,49.8571428571429,50.2984019089582,49.8554913294798,49.547341594323,49.1803278688525,48.7262872628726,47.5424510889627,48.7235085528468,47.6190476190476,47.929828772836,48.0769230769231,47.5029726516052,47.8348439073515,48.712011577424,49.013367281986,49.1916816009558,49.2724867724868,48.7220447284345,48.4712230215827,48.0109739368999,49.1071428571429,49.9000999000999,50.5377269806154,50.5394662123793,50.6341463414634,51.2321660181582,53.3462657613967,53.9772727272727,53.7549407114625,53.3706851440842,53.4224598930481,53.2258064516129,53.5224956488223,54.3685695320279,53.9080459770115,54.031465093412,54.5606209838915,55.555,56.3579277864992,56.7643466892886,56.62207654146,56.3579277864992,56.4870259481038,56.457340542522,58.6034912718205,58.6898659514032,59.6681761676434,59.9342123415502,61.2276766187185,62.7006193872761,62.5,63.2984581497797,62.5,64.1025641025641,63.8387096774194,63.8387096774194,64.8550289770584,66.1418099596636,68.1363903586126,68.0565897244974,68.963535617499,70.1702664680569,71.6800976195933,70.6134094151213,70.5141129032258,71.6147719044171,73.4597156398104,72.5867364175644,73.8148292888224,74.6619635508524,76.0660952572667,77.4686544868149,78.6127167630058,78.9760348583878,79.552150854449,79.7569460409757,80.4022988505747,79.7916666666667,79.066265060241,79.3822099559067,80.0343249427918,80.641592920354,82.0201827463653,83.9242053789731,85.5849903484769,85.230907152549,86.6626794258373,87.292817679558,86.8602377723818,86.071284813832
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,61.1896348645465,61.6815740187913,62.560065919873,62.718415799979,61.9047619047619,62.09453197405,61.1298482293423,60.5046723969167,59.6643233689007,59.6658711217184,60.1871101871102,59.2686002522068,58.0564784053156,56.9444444444444,57.8467498110355,57.9848471102341,58.245,57.8337874659401,58.0338266384778,57.738572574178,58.0997949419002,57.9773869346734,56.6588785046729,56.3372417643774,55.5650684931507,55.4091539528433,55.3458850784247,55.0699464107677,55.9311616472034,55.923777961889,54.4182765508668,53.8243626062323,53.6684782608696,54.1043474692764,54.4332210998878,54.8780487804878,55.8035714285714,56.2990982632878,57.3394495412844,57.0093457943925,57.1428571428571,57.1139259936077,58.1260053216278,58.7797619047619,58.4780303932199,59.4040407806707,58.7525391897589,60.1494017371864,61.3313421394584,61.6788321167883,61.5550755939525,62.280701754386,62.101734220609,62.8975265017668,63.0718077175404,62.7562551461074,62.0617239284008,62.8346456692913,60.5990783410138,61.0997963340122,65.3343023255814,67.1785028790787,66.0543326014537,64.0480024537996,65.4069767441861,65.2470580479283,66.8358714043993,68.5378590078329,69.001827453061,68.738792588165,69.5074611816898,71.2121212121212,71.9955064686345,71.1816120756518,71.3403640441684,71.6738994563615,71.7131474103586,71.6507177033493,71.8426766742765,74.5319205286122,71.928490990991,74.2959856201318,73.5640648011782,70.8237105465743,74.044561468342,73.6584216725559,78.0048076923077,79.870022065777,81.5838610740352,83.7004405286344,84.4972067039106,84.7044702674228,85.2017937219731,87.1789195329295,85.3260869565217,86.3636363636364,87.2622726732438,85.6190476190476,87.911247130834,89.2990604313474,91.8416666666667,90.9723581166377,92.7147766323024,94.0141180391877,94.856764527845,94.6129643206256
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,70.6367924528302,71.1751662971175,73.0949042804317,73.051948051948,71.7797336879023,72.2800925925926,72.8125,72.5686177248677,73.14453125,72.6862820151984,73.6272609819121,72.0421052631579,71.031746031746,68.5213414634146,73.0730730730731,71.0461328626444,71.2857142857143,71.1622807017544,70.6060606060606,67.9421768707483,67.309092488858,67.2558922558922,66.40625,65.4353009477455,65.7142857142857,64.7567567567568,65.3409090909091,65,64.9593495934959,65.1849792049521,65.545202020202,63.9506172839506,63.7557339449541,63.3333333333333,61.7229961460076,62.6043405676127,61.4583333333333,61.9274809160305,62.3958333333333,62.4340277777778,62.7358154996346,64.6067415730337,63.6566489145459,64.2857142857143,65.5424321959755,64.6440129449838,62.8571428571429,62.5874125874126,62.4305555555556,62.5218232968783,63.4126984126984,63.3079847908745,62.6984126984127,62.9432433401456,63.9044444444444,63.6752136752137,64.9434859614381,66.9589285714286,66.1641541038526,64.9166666666667,64.1267123287671,64.534557460914,63.9136501046431,64.1349195368299,65.5555555555556,65.5737704918033,65.2012882447665,64.7948164146868,64.3939393939394,63.7931034482759,63.5737009544008,62.1165008291874,61.1791730474732,61.4668715846995,62.1461646923102,63.5665114941496,64.7295321637427,65.1747557997558,65.3820598006645,65,64.7792207792208,63.3333333333333,62.1510308013253,63.3326666666667,64.5118534759084,66.1646586345382,68.5763888888889,70.9912431811657,72.6744186046512,72.6744186046512,71.7213114754098,71.19140625,71.8181818181818,74.5817786069652,73.5294117647059,71.8181818181818,71.874375,73.728813559322,73.3678756476684,76.1485694183865,78.046875,78.857150216361,80.9379133597884,82.8649106630107,82.1232876712329,83.001808318264
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4225352112676,72.1115122342559,74.0868251726303,75.1164596273292,76.235052016302,76.5991345397325,77.7922077922078,79.3445878848064,81.0983069093756,81.6372939169983,82.1173408791168,83.7814467248602,84.9489795918367,83.5982546518701,83.1713244228433,84.070796460177,84.2140212665203,84.1067285382831,84.929178470255,86.3321799307958,85.0354609929078,86.8890283890184,89.3591293833132,90.5262059533958,87.1344693881086,91.4570292123109,93.1185691870512,94.2441492726123,95.1539792387543,96.887844979448,98.1020942408377,99.6563573883162,99.9327052489906,101.010420056535,102.857828791622,102.964665375188,104.529616724739,105.263157894737,105.516413380864,106.475409836066,106.810948440484,106.913580246914,108.848359863903,111.604895104895,113.340168715101,113.146551724138,114.099429502852,114.632501685772,115.24676263348,116.67753150804,117.826704545455,119.39564300773,120.270876466529,121.238216833426,121.966101694915,122.685595352047,123.056994818653,125.637755102041,127.333333333333,128.030303030303,128.967741935484,131.164296162275,131.233180839612,132.347609094399
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,56.6890247806877,55.8038485412787,56.1797752808989,55.9350305650813,56.2440419447092,56.1524047470331,56.0141509433962,56.422569027611,55.0837440397484,55.0439441831779,54.726368159204,54.0575700134524,53.5491905354919,51.1363636363636,51.0352366255144,50.547407089287,50.2747252747253,49.6031746031746,48.3159509202454,48.1481481481481,48.1500812491169,47.6626947754354,47.4243663123467,47.1159337521416,46.5235814296242,47.4495848161329,47.2708383887406,47.4446008313967,47.92,48.3493845789692,49.3106210536236,50.3355704697987,49.9029702897241,52.0419206389411,51.0204081632653,55.1394101329852,55.9862187769165,56.4416601931309,57.8532692692329,58.3390528483185,60.8695652173913,62.3923611111111,65.6934306569343,68.0396842254319,69.0965108834827,70.7818174956699,72.3184067688378,73.7028301886792,73.0160496795913,74.2009132420091,74.722050599623,76.4312629599625,77.484186657119,77.6372047631885,78.9473684210526,79.9573560767591,80.5270863836018,80.3240740740741,79.9648658836834,81.3397129186603,81.7332932509012,83.3333333333333,83.3333333333333,83.9099631971685,85.5714285714286,84.2527862208713,86.8133498270175,87.2549019607843,88.821752265861,89.2857142857143,89.790743102249,90.3003439435342,90.7451893726649,92.7346533851636,93.8802421098141,94.1987691891995,94.3339960238569,96.1257208346608,96.4737192282102,96.9743987587277,97.511768661735,99.4550408719346,99.8819036427732,100.945017182131,103.225806451613,104.925053533191,106.837606837607,108.359133126935,109.89010989011,110.831234256927,113.653835696134,115.397775876818,118.518518518519,119.653791605956,121.060606060606,123.838840482663,125.966386554622,128.114909781576,130.260707635009,132.021464409034,135.030864197531,138.244977322817,138.888888888889,141.736802492474,144.429165205137,145.698684119757
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.114583333333,255.905511811024,260.243055555556,264.550264550265,266.283524904215,273.654916512059,280.165289256198,291.150442477876,290.927021696252,288.437318349157,294.713718820862,292.186233421293,286.499215070644,284.258210645527,281.953100717188,283.551653987677,289.63881284221,292.207792207792,297.413793103448,305.805800739601,289.412737799835,316.104748160203,314.130434782609,312.945156909172,310.897435897436,306.949806949807,311.320754716981,320.723684210526,320.985304960596,321.51268115942,319.867589428986,327.359144650416,333.73786407767,341.091492776886,339.528301886792,343.880781703362,347.364217252396,342.707417984769,339.368290668869,344.536222333048,346.214511041009,356.271799116998,359.956236323851,358.963530838531,363.924050632911,365.862604379348,365.897634911222,367.430441898527,364.892238359875,364.715032354405,368.110654735211,367.087827485247,373.121375479866,376.526158526402,378.257480368441,402.038505096263,405.212275793977,400.939142601775,399.591368227732,399.84,395.259938837921
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,53.5346854791299,54.9824620073496,55.5555555555556,55.1181102362205,54.9587153178313,54.9866163897384,54.5398841354724,53.4185363247863,53.4136800699301,53.5571457417894,53.4523809523809,51.7587939698492,51.499532713564,51.0565780504431,50.8347587634343,49.9285714285714,50.5627463796755,50.5569837189374,49.9167129372571,49.8381015051337,50.2796768178993,48.8383119962067,47.2860235096053,46.4240903387704,40.810779865821,46.5116279069767,46.9243131875287,46.9550369948776,47.3415877640204,48.1075378360918,48.4242424242424,47.6489531229251,47.6839237057221,49.3015612161052,49.0811602418745,49.7351474196622,49.2227979274611,50.1917656880653,51.2214857020434,53.227877578177,52.9139072847682,51.4175257731959,50.2043199065966,49.2419408356517,50.9290371261156,52.6469773028241,51.9587098732128,52.4658971668416,51.3946402349486,50.1392757660167,51.851700724685,54.2551567746718,55.462962962963,51.4322916666667,49.75,54.8328092678682,54.9044922329774,53.6269033246238,53.2079393524387,52.0833333333333,53.4821428571429,53.2687651331719,57.108985365056,58.1793292265572,59.4512195121951,59.4512195121951,60.1534987609234,61.9962802231866,63.6980952964233,64.778156996587,64.9571989586551,67.0945157526254,65.6000656167979,65.6954887218045,67.6638176638177,69.6744975892526,71.7417710993311,74.2841720736059,76.219512195122,76.4627659574468,76.7694063926941,77.4151706672045,78.4883720930233,79.4533387016739,81.1470408785845,83.7590045841519,84.5819761129207,87.3263497255433,91.5929203539823,92.0196439533456,92.4204950887548,95.0571065989848,96.830985915493,96.9769291964996,98.2564235866347,100.979192166463,100.581762602506,102.446719925057,102.846054333765,105.669947852222,107.399965631673,109.527196369302,111.764705882353,111.568643009576,112.5,111.088374088374
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,235.342019543974,235.512367491166,239.612734118608,245.810055865922,243.690851735016,246.63018835134,242.913639898731,244.957587181904,246.153846153846,243.14765694076,242.395437262357,241.689750692521,241.583333333333,229.349076694394,234.088708783499,234.375,228.234551005369,230.825388373312,232.270356982763,230.600292825769,222.352941176471,221.179943767573,221.694520247794,229.889927651122,227.367582334193,230.692076228686,234.940830507269,239.32384341637,243.169911360052,247.026532479414,249.699157641396,253.959484346225,249.187561660205,258.417603845456,264.093044150387,273.75095391141,280.928384791767,291.125541125541,295.048044357232,308.094544510193,320.842157946219,332.607342874922,344.512322472849,345.996097299458,347.248576850095,353.185595567867,353.266888150609,356.031128404669,357.092997951869,360.394537177542,363.008631319359,369.135802469136,377.411118737131,381.558028616852,382.003395585739,382.63137755102,385.351441926096,387.262079062958,381.611065907242,376.752336448598,374.736477467804,378.091872791519,392.681830226808,399.293286219081,407.685098406748,410.163379750713,420.619860847565,424.981522542498,425.796425796426,423.398665776191,427.394692709875,427.120669056153,433.111603843311,433.622414943296,446.428571428571,449.866601840479,450.713359273671,455.073586367157,453.260869565217,457.290772532189,457.328244274809,457.839262187088,452.37446201262,439,447.712418300654,455.586080586081,462.301587301587,469.771241830065,483.5291707024,485.99269183922,474.992874109264,471.805894308943,465.928363424578,466.931898298127,479.047227926078,479.038224414303,489.403973509934,510.795454545455,525.620071684588,552.205471803462,569.52108194113,578.994404075837,582.260816241656,588.235294117647,586.592950932965,584.025570148041
