"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Autauga County","AL","Montgomery","01","001",786,235000,245400,244900,229000,236000,233400,231950,231900,230000,229900,229900,229900,229995,229900,235000,244950,235900,233000,231500,229900,233000,233950,231450,224900,234900,232900,239900,231900,229900,232400,231219.5,233900,238900,238950,229000,229000,229000,229000,229900,229900,229450,229950,235000,239900,239900,235000,224950,227450,223500,219950,226400,229900,225000,219900,214950,210000,209950,209900,211900,217999,219950,232900,239000,234000,227499.5,215800,215000,210000,215350,218699.5,215350,215900,234900,236250,230260,235900,235250,239900,236750,235600,244950,239675,240000,237125,245000,240149.5,240199.5,244750,240000,244950,240000,239900,239450,240000,235149.5,237900,236200,232500,239950,248000,249900,244950,245949.5,248449.5,246849,247749
"Colbert County","AL","Florence-Muscle Shoals","01","033",787,233750,234450,234000,224900,219500,222200,224900,219700,217700,199900,207000,205000,202489.5,199900,202439.5,199000,199450,209450,199939.5,214950,209945,199979,220000,219500,222500,232500,235400,234809.5,238200,244900,247400,249900,242400,234719,230950,229900,224900,224900,222900,224900,234900,239650,240000,240000,240000,240000,239000,239000,239900,237000,234450,239900,239900,244900,249000,244900,248500,249000,249900,249949.5,249900,245000,249900,248000,239900,239900,235500,235000,239950,239900,239000,240000,240000,239900,239900,249700,249250,252000,254900,249000,249900,244900,249000,249000,244900,249900,252500,259900,258750,255900,257900,264950,265000,267000,270000,274450,264900,258500,264500,269000,269000,269000,269000,265000,265000,269900
"Roane County","TN","Knoxville","47","145",788,339900,329900,329900,332800,334750,319900,329900,322500,319900,317450,319900,315000,324900,312500,309900,3e+05,3e+05,309900,299900,299000,299825,299900,299000,299000,281175,279900,288500,279900,279450,279000,275000,279900,275000,289900,285000,279900,279945,287000,287000,289900,295000,299000,299900,299900,299900,297500,299000,299650,299900,299250,299900,302500,309900,324900,325000,319000,319000,320000,325000,319000,309900,319000,299900,299900,325000,321950,317000,325000,329000,329950,325000,320000,299949.5,319000,318850,349900,350000,349450,344900,348400,335000,339949.5,344900,346950,349000,349900,339000,349900,350000,355700,372900,350000,350000,350000,361450,364900,350000,350000,350000,350000,358000,350000,350000,350000,350000,365450
"Boone County","IL","Rockford","17","007",789,212000,215000,214000,219900,229450,229000,228500,225550,230000,229900,225000,224913,209245,214950,208061,210000,219000,230372.5,239772,229900,225000,220000,225000,216850,214750,228950,225000,225000,239000,233900,242950,239900,229900,220750,220000,211000,215394.5,219450,225000,229900,239000,245000,245000,236400,234950,234802,227500,229450,229000,233400,229000,235000,239900,244950,249000,249500,249000,239900,239200,234500,229000,219950,232000,234900,239900,239000,230500,230000,234250,230000,229900,229250,215000,219900,221900,229999,234900,234900,235685,238200,239900,240900,249000,239900,242450,235837.5,233500,224945,225000,239900,248000,238695,234900,234900,232450,239000,240000,247990,245000,245000,245750,250000,250000,249900,251450,247445
"Henry County","VA","Martinsville","51","089",790,174900,177400,179900,179900,170950,179900,179900,184500,182900,179500,174900,172400,172400,165000,159900,159700,159150,158800,155000,152900,150400,153900,159150,169900,174950,169450,169900,169900,172400,169900,169900,159900,159950,165000,159900,165000,160000,164950,159950,159900,159950,159900,159000,159000,159900,159900,159900,159900,159900,149900,150200,150500,155900,159900,159900,159000,159900,159000,150800,149900,149900,159900,159000,158950,158950,159900,150000,149000,149900,149900,149900,149900,154900,152900,154900,153900,159900,165000,165000,169900,168500,169450,164999,164949.5,164900,165000,169900,169900,172000,176750,175000,176500,179900,174900,169900,168900,169900,169900,168900,169900,169900,169900,175000,175000,170000,170000
"Chisago County","MN","Minneapolis-St. Paul-Bloomington","27","025",791,339900,339900,334450,327450,331900,342400,350000,349450,329900,329900,319900,327450,324900,329000,310000,3e+05,3e+05,304500,3e+05,3e+05,299900,299900,299900,3e+05,3e+05,3e+05,3e+05,299900,294900,299900,300600,301200,341200,309900,3e+05,319000,322450,299950,308700,314900,320000,319000,340000,329900,339467.5,349000,349000,349000,347825,341650,339000,327450,349000,339000,339950,338750,349900,349900,349900,349950,349900,358550,362300,352500,356750,359900,359900,356600,359900,363650,371450,365461,356600,346000,350000,364900,364950,365207,364500,369900,369950,365230.5,377000,376500,389850,376500,375000,379900,379900,380000,384450,390900,390450,390900,395000,395900,399000,394900,399000,4e+05,399900,4e+05,4e+05,4e+05,399975,4e+05
"Coles County","IL","Charleston-Mattoon","17","029",792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152000,149900,159450,157450,157900,166450,167750,160000,159900,155000,159000,159450,157450,159800,158750,163250,162000,159900,159900,169900,165000,163700,165000,162450,162900,159900,163000,159900,159900,157450,155000,157700,155950,154900,155000,155900,155000,155450,159900,161950,159450,164900,169950,164900,169400,165000,174950,175950,176900,174200,174500,173250,177200,169995,165000,169900,175000,175000
"Jefferson County","WV","Washington-Arlington-Alexandria","54","037",793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899999,819500,889000,857000,898250,899000,894500,847500,850000,799900,750000,674900,699000,749000,715000,674950,750000,750000,769500,749900,750000,740000,797000,797000,824500,773500,797000,750000,725000,750000,750000,749950,719000,749900,749900,709000,749950,749900,799000,824500,850000,862500,799000,750000,799000,799000,777000,750000,725000,724900,749500,750000,819000,850000,829000,864500,720000,737450,725000,699950,772500,795000,750000
"Rusk County","TX","Longview","48","401",794,225900,230000,233000,229000,229000,231500,229000,239000,239900,239000,239000,239000,226000,234900,236950,236950,234900,221500,220000,226500,235000,237450,234650,239900,223500,230000,234900,246750,239900,225000,225000,234400,250000,249500,250000,255000,250000,250000,250000,250000,242500,235000,231950,227000,219950,222000,239900,235000,234500,245000,239950,238450,232500,248000,242000,240694,242000,249900,249900,249900,250000,257450,259900,260000,287450,262000,270000,267671.5,257500,261250,266900,266900,275000,277500,272450,272450,267000,259250,269000,277821,311900,334900,349900,340000,334900,329450,329950,329000,327000,316660,325000,325000,325000,324950,319000,325000,322500,309000,299450,309500,299999,299999,299900,298000,299000,299250
"Knox County","IL","Galesburg","17","095",795,179900,174000,179900,180000,189700,180000,179950,179900,179900,169900,169500,159000,157700,139700,139500,139000,139900,149900,149900,150000,150000,154900,154900,155000,155000,146900,149250,146900,150000,149950,156000,162500,159900,157000,154900,149900,149900,151900,149900,158900,154000,152900,150900,149900,153900,154000,149900,154000,159700,159500,159700,161950,159950,159950,159900,159000,159000,154950,151000,154500,154500,149900,149700,157500,158900,184900,177000,169900,177750,169500,174200,174950,179900,179975,178900,169450,169000,165000,162950,159900,163450,165000,169000,169000,165000,164900,164900,171250,179900,179900,184950,184900,189500,189000,172000,169900,169500,169700,175450,175950,177000,177000,178000,170000,165000,165000
