"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Sacramento","Sacramento","CA","Sacramento, CA, CA","Sacramento, CA",29,3.50878682400883,93.14,0.0088,0.7,319500,0.093984962406015,5.58493060145407,0.0389859154929577,,0.0662313758814882,0.0208158693877816,55
"City","Baltimore","Baltimore","MD","Baltimore, MD, MD","Baltimore, MD",30,6.15502164869683,82.21,0.0649,,118700,1.27986348122867,25.6084656084656,0.131735467565291,,0.296473308735352,0.0568663179872382,109
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI, WI","Milwaukee, WI",31,1.00772561337974,80.62,0.0279,2.69,117600,0.684931506849315,9.3953488372093,0.051360544217687,,0.198968144782989,0.0435871619367621,69
"City","Fresno","Fresno","CA","Fresno, CA, CA","Fresno, CA",32,2.9162068087274,88,0.0162,1.18,235000,0.642398286937901,6.47938377888536,0.0522936170212767,,0.111875227036854,0.0290361898853212,57
"City","Omaha","Omaha","NE","Omaha, NE, NE","Omaha, NE",33,3.7227268868325,100,0.0049,0.93,170200,0.591016548463357,7.65338393421885,-0.00433607520564039,,0.0596983427786794,0.0171717658191205,54
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM, NM","Albuquerque, NM",34,2.04940996689023,75,0.0129,0.84,197700,0.406297613001524,6.57681940700809,0.0447749114820435,,0.112392544525864,0.0419678136839857,74
"City","Oklahoma City","Oklahoma City","OK","Oklahoma City, OK, OK","Oklahoma City, OK",35,0.935563290601919,92.69,0.0138,2.31,127700,0.314218381775334,1.91540303272147,0.00843382928739222,,0.0955569157301969,0.0351222465513721,70
"City","Raleigh","Raleigh","NC","Raleigh, NC, NC","Raleigh, NC",36,3.80252992613974,94.12,0.0051,0.4,267500,0.412912912912913,6.06661379857256,0.041222429906542,,0.0578019599928355,0.0160787417669961,53
"City","Mesa","Mesa","AZ","Phoenix, AZ, AZ","Phoenix, AZ",37,4.81025553951948,89.71,0.0017,0.64,245100,0.822706705059646,8.35543766578249,0.0465361077111384,,0.0794574566896293,0.0165748186337397,50
"City","Atlanta","Atlanta","GA","Atlanta, GA, GA","Atlanta, GA",38,6.46744205789965,100,0.011,2.24,252000,1.24548011249498,14.5975443383356,0.0807222222222221,,0.134051387269465,0.0230026059577569,55
"City","Kansas City","Kansas City","MO","Kansas City, MO, MO","Kansas City, MO",39,5.11503523219289,81.69,0.0159,0.87,143800,0.98314606741573,10.8712413261372,0.077816411682893,,0.0948924936012039,0.0253374561355596,60
"City","Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA, CA","Los Angeles-Long Beach-Anaheim, CA",40,4.46048051617285,94.49,0.0049,0.13,589000,0.460515094661436,3.97175639894086,0.0509405772495755,,0.055211565209813,0.0167593422183596,57
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO, CO","Colorado Springs, CO",41,5.53527464131081,97.94,0,0.07,282700,0.784313725490196,9.44638017808749,0.0627980191015209,,0.0761624332464266,0.00746033871562153,48
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA, VA","Virginia Beach, VA",42,0.450802275235589,84.4,0.0406,2.6,263100,0.152264940997335,2.41339042428961,0.0230406689471683,,0.15546776919662,0.0254376491837363,72
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL, FL","Miami-Fort Lauderdale, FL",43,2.84744035996265,84.75,0.0044,0.11,334500,0.11972463334331,4.56392622694592,0.0352257100149478,,0.112317206548185,0.0127889559649879,151
"City","Oakland","Oakland","CA","San Francisco, CA, CA","San Francisco, CA",44,4.73724424823839,92.31,0.0079,0.38,743400,0.445885691122821,4.23443634324173,0.0775316115146623,,0.0342943076092919,0.0161251775436056,41
"City","Tulsa","Tulsa","OK","Tulsa, OK, OK","Tulsa, OK",45,1.11214873928177,,0.0171,2.41,120100,-0.0831946755407654,3.35628227194492,0.0571440466278101,,0.114164394120698,0.0402157782500467,76
"City","Minneapolis","Minneapolis","MN","Minneapolis-St Paul, MN, MN","Minneapolis-St Paul, MN",46,4.78648442142797,86.98,0.0074,1.27,262400,0.420972062763108,7.01468189233279,0.0546989329268293,,0.0842687736302241,0.00828149530408975,66
"City","Honolulu","Honolulu","HI","Urban Honolulu, HI, HI","Urban Honolulu, HI",47,3.99354783937516,92.48,0.0024,0,672900,-0.311111111111111,3.89069013432144,0.00725813642443152,,0.0461827498283305,0.008567923470318,88
"City","Cleveland","Cleveland","OH","Cleveland, OH, OH","Cleveland, OH",48,1.95602343153069,71.88,0.0833,7.52,54200,0.931098696461825,13.6268343815514,0.0703505535055351,,0.295053585110466,0.0620194445428013,76
"City","New Orleans","New Orleans","LA","New Orleans, LA, LA","New Orleans, LA",49,1.21911877069361,90.06,0.024,,181900,0.775623268698061,-0.979858464888405,-0.0123584387025838,,0.134153036222677,0.0429969935244571,104
"City","Arlington","Arlington","TX","Dallas-Fort Worth, TX, TX","Dallas-Fort Worth, TX",50,7.45903726971729,98.53,0.0034,0.11,199900,0.756048387096774,9.7145993413831,0.0889694847423712,,,,49
"City","Baton Rouge","Baton Rouge","LA","Baton Rouge, LA, LA","Baton Rouge, LA",51,4.28134816198319,90.68,0,0,166300,0.180722891566265,7.70725388601036,0.0253096812988576,,0.143578346154818,0.0532552071236936,81
"City","Wichita","Wichita","KS","Wichita, KS, KS","Wichita, KS",52,1.76925036081161,96.15,0.0294,2.08,125500,0.480384307445957,5.72872788542544,0.0178565737051792,,0.0569715212691655,0.0275288324030024,60
"City","Knoxville","Knoxville","TN","Knoxville, TN, TN","Knoxville, TN",53,4.73894218524493,,,1.76,166000,0.728155339805825,8.14332247557003,0.0489638554216867,,0.0855020110471464,0.0165557418964715,62
"City","Tampa","Tampa","FL","Tampa, FL, FL","Tampa, FL",54,8.09661261567196,86.59,0,0.37,218000,0.739371534195933,11.2244897959184,0.0835412844036698,,0.0883671475490486,0.0194338375640911,75
"City","Aurora","Aurora","CO","Denver, CO, CO","Denver, CO",55,6.55828168774938,98.8,0.0022,0.37,319600,0.376884422110553,7.64567194341529,0.0476627033792241,,0.0503007670343122,0.0061249878051257,50
"City","Riverside","Riverside","CA","Riverside, CA, CA","Riverside, CA",56,3.42643687919178,90.97,0.0157,0.8,400700,-0.149514079242462,5.17060367454068,0.0460643873221862,,0.0619172389306748,0.0246647731568111,66
"City","Bakersfield","Bakersfield","CA","Bakersfield, CA, CA","Bakersfield, CA",57,1.33288055013159,82.23,0.0235,1.06,235700,0.426075841499787,4.75555555555556,0.0389435723377174,,0.154201704414816,0.0304936538691601,65
